Table S6: Differential expression test results for the identification of tissue-enriched genes. ,,,,,,,,
gene_id,symbol,max.tissue,max.tissue.expr,tissue.2,tissue.2.expr,ratio,pval,qval
WBGene00017305,nspb-12,Pharynx,1545.84,Neurons,3.84,319.54,0,0
WBGene00009968,fig-1,Glia,5166.96,Pharynx,15.62,310.91,0,0
WBGene00017613,F20A1.1,Glia,4484.54,Neurons,13.54,308.44,0,0
WBGene00001444,flp-1,Neurons,2281.82,Hypodermis,6.93,287.83,0,0
WBGene00011019,R05A10.2,Glia,1830.97,Neurons,5.42,285.15,0,0
WBGene00006404,tag-10,Intestine,1932.95,Body_wall_muscle,6.29,265.09,0,0
WBGene00000214,asp-1,Intestine,5161.16,Neurons,18.68,262.25,0,0
WBGene00012942,Y47D3B.6,Pharynx,10223.93,Glia,39.19,254.37,0,0
WBGene00009384,piit-1,Pharynx,1258.88,Neurons,3.96,253.61,0,0
WBGene00007541,fipr-4,Pharynx,1430.67,Neurons,4.90,242.61,0,0
WBGene00013515,Y73F4A.2,Pharynx,2309.96,Neurons,8.65,239.28,0,0
WBGene00015102,cpg-2,Gonad,579.11,Neurons,1.47,234.63,0,0
WBGene00020156,T02B11.4,Glia,1451.37,Neurons,5.31,230.04,0,0
WBGene00007687,C18E9.7,Pharynx,1793.64,Neurons,8.27,193.41,0,0
WBGene00005018,sqt-3,Hypodermis,4314.43,Pharynx,21.47,192.02,0,0
WBGene00017621,F20A1.10,Glia,3696.14,Neurons,18.66,188.01,0,0
WBGene00002268,lec-5,Body_wall_muscle,1664.18,Neurons,8.00,184.95,0,0
WBGene00003178,mec-17,Neurons,1123.34,Hypodermis,6.29,154.12,0,0
WBGene00000497,chs-2,Pharynx,2244.69,Gonad,13.71,152.56,0,0
WBGene00004044,plk-3,Gonad,677.63,Neurons,3.53,149.46,0,0
WBGene00014183,ZK1025.3,Hypodermis,3376.17,Pharynx,24.32,133.35,0,0
WBGene00004123,pqn-36,Pharynx,2570.27,Neurons,18.84,129.57,0,0
WBGene00000641,col-65,Hypodermis,5084.90,Pharynx,40.33,123.03,0,0
WBGene00000606,col-17,Hypodermis,6738.29,Pharynx,58.41,113.42,0,0
WBGene00004300,ram-2,Hypodermis,17227.83,Pharynx,150.98,113.35,0,0
WBGene00000681,col-107,Hypodermis,14235.25,Pharynx,128.27,110.12,0,0
WBGene00000653,col-77,Hypodermis,4172.79,Pharynx,40.83,99.75,0,0
WBGene00019868,R04B3.3,Glia,2019.94,Neurons,19.95,96.42,0,0
WBGene00001386,far-2,Body_wall_muscle,4053.04,Neurons,42.88,92.36,0,0
WBGene00003893,ost-1,Body_wall_muscle,6119.36,Gonad,65.67,91.79,0,0
WBGene00001702,grd-13,Hypodermis,704.88,Neurons,6.89,89.30,0,0
WBGene00001066,dpy-4,Hypodermis,12952.46,Pharynx,154.59,83.25,0,0
WBGene00006764,unc-27,Body_wall_muscle,2480.45,Pharynx,33.81,71.26,0,0
WBGene00000822,csq-1,Body_wall_muscle,2572.76,Pharynx,35.34,70.79,0,0
WBGene00000618,col-41,Hypodermis,2098.95,Pharynx,29.89,67.95,0,0
WBGene00002064,iff-1,Gonad,833.37,Neurons,11.58,66.23,0,0
WBGene00001703,grd-14,Hypodermis,567.81,Neurons,7.72,65.13,0,0
WBGene00003934,pat-10,Body_wall_muscle,3347.50,Neurons,51.38,63.91,0,0
WBGene00014262,ZK1321.4,Body_wall_muscle,409.92,Neurons,6.28,56.28,0,0
WBGene00006452,heh-1,Body_wall_muscle,471.77,Neurons,7.61,54.81,0,0
WBGene00001172,egl-3,Neurons,5344.03,Pharynx,101.76,52.01,0,0
WBGene00019727,zig-12,Body_wall_muscle,523.19,Neurons,9.09,51.86,0,0
WBGene00012437,hum-9,Body_wall_muscle,1415.31,Neurons,27.09,50.38,0,0
WBGene00010723,cpg-7,Hypodermis,1520.29,Neurons,29.33,50.13,0,0
WBGene00016330,C32E12.4,Body_wall_muscle,750.63,Gonad,15.51,45.47,0,0
WBGene00017440,upb-1,Body_wall_muscle,491.90,Neurons,9.93,44.99,0,0
WBGene00008603,F09B9.4,Body_wall_muscle,505.62,Neurons,10.69,43.25,0,0
WBGene00021625,Y47D7A.13,Hypodermis,17564.76,Glia,408.50,42.89,0,0
WBGene00018271,F41C3.5,Body_wall_muscle,4400.41,Neurons,105.05,41.50,0,0
WBGene00006754,unc-15,Body_wall_muscle,11621.14,Pharynx,320.55,36.14,0,0
WBGene00012875,Y45F10B.13,Body_wall_muscle,1129.95,Neurons,31.56,34.70,0,0
WBGene00015061,cpna-2,Body_wall_muscle,14448.95,Pharynx,444.10,32.46,0,0
WBGene00012382,ttr-16,Body_wall_muscle,2083.50,Neurons,72.93,28.18,0,0
WBGene00016918,test-1,Body_wall_muscle,610.02,Gonad,21.19,27.49,0,0
WBGene00006672,twk-18,Body_wall_muscle,481.13,Neurons,16.72,27.15,0,0
WBGene00001320,ent-1,Gonad,1152.50,Body_wall_muscle,42.86,26.28,0,0
WBGene00021893,ndnf-1,Body_wall_muscle,579.71,Neurons,21.66,25.58,0,0
WBGene00017657,F21C10.7,Body_wall_muscle,2998.57,Neurons,119.14,24.96,0,0
WBGene00001385,far-1,Body_wall_muscle,13056.46,Neurons,611.08,21.33,0,0
WBGene00002280,let-2,Body_wall_muscle,12003.13,Gonad,566.05,21.17,0,0
WBGene00001263,emb-9,Body_wall_muscle,7972.27,Gonad,390.17,20.38,0,0
WBGene00004422,rpl-11.1,Gonad,3209.34,Neurons,158.54,20.12,0,0
WBGene00001328,epi-1,Body_wall_muscle,3847.10,Gonad,247.28,15.49,0,0
WBGene00000065,act-3,Body_wall_muscle,7109.93,Pharynx,516.82,13.73,0,0
WBGene00006436,ttn-1,Body_wall_muscle,44355.07,Pharynx,3350.51,13.23,0,0
WBGene00002247,lam-1,Body_wall_muscle,1599.81,Gonad,138.07,11.50,0,0
WBGene00016913,lam-2,Body_wall_muscle,2002.86,Gonad,176.37,11.29,0,0
WBGene00013884,ZC412.3,Body_wall_muscle,1003.48,Neurons,91.67,10.83,0,0
WBGene00006584,tni-1,Body_wall_muscle,1582.72,Neurons,166.56,9.45,0,0
WBGene00006820,unc-89,Body_wall_muscle,14456.63,Pharynx,1558.36,9.27,0,0
WBGene00003929,pat-2,Body_wall_muscle,1654.46,Neurons,231.35,7.12,0,0
WBGene00011498,T05G5.1,Body_wall_muscle,1239.82,Gonad,173.66,7.10,0,0
WBGene00003930,pat-3,Body_wall_muscle,1238.96,Gonad,183.98,6.70,0,0
WBGene00004215,ptp-3,Neurons,1476.56,Body_wall_muscle,230.00,6.39,0,0
WBGene00000998,dig-1,Body_wall_muscle,6501.79,Neurons,1088.22,5.97,0,0
WBGene00006752,unc-13,Neurons,2081.40,Body_wall_muscle,418.80,4.96,0,0
WBGene00003242,mig-6,Body_wall_muscle,3174.56,Neurons,919.15,3.45,0,0
WBGene00004178,prg-1,Gonad,917.83,Body_wall_muscle,150.97,6.04,4.94065645841247e-324,9.93071948140906e-322
WBGene00008944,F19B2.5,Intestine,2066.77,Neurons,6.93,260.62,1.97626258336499e-323,3.92782188443791e-321
WBGene00001973,hmg-3,Gonad,472.49,Neurons,6.14,66.13,8.89318162514244e-323,1.75047458321554e-320
WBGene00000031,abu-8,Pharynx,8355.78,Glia,27.66,291.55,4.90113120674517e-321,9.55295688859884e-319
WBGene00017376,F11C7.2,Glia,1403.21,Hypodermis,0.63,858.36,4.22702803955937e-319,8.1605796032921e-317
WBGene00003754,nlp-16,Glia,3744.76,Neurons,51.51,71.31,7.1321340371059e-319,1.36391969698506e-316
WBGene00012544,Y37D8A.2,Body_wall_muscle,678.36,Gonad,61.57,10.84,5.34804816800378e-318,1.01318022724104e-315
WBGene00000465,cpg-1,Gonad,491.68,Neurons,7.91,55.18,9.06346389977043e-311,0.00E+00
WBGene00009983,cut-2,Hypodermis,10634.01,Glia,228.67,46.30,1.59678625560201e-310,2.97E-308
WBGene00019563,K09C6.9,Glia,2518.48,Pharynx,1.47,1020.22,0.00E+00,2.66E-307
WBGene00003519,nac-3,Neurons,980.68,Body_wall_muscle,152.18,6.40,5.50E-308,1.00E-305
WBGene00011736,T12D8.9,Body_wall_muscle,2160.18,Pharynx,90.41,23.63,7.06E-308,1.28E-305
WBGene00019957,R08E3.1,Intestine,1929.83,Hypodermis,3.82,400.18,4.31E-304,7.73E-302
WBGene00001716,grl-7,Hypodermis,521.91,Neurons,10.09,47.04,1.47E-302,2.61E-300
WBGene00010850,M04C3.1,Intestine,1952.67,Hypodermis,1.33,837.63,2.34E-301,4.13E-299
WBGene00006836,unc-112,Body_wall_muscle,769.29,Neurons,112.23,6.79,5.89E-301,1.03E-298
WBGene00009097,fipr-2,Pharynx,1304.69,Hypodermis,5.29,207.45,5.96E-301,1.03E-298
WBGene00007764,C27B7.7,Body_wall_muscle,392.19,Neurons,6.47,52.52,5.05E-297,8.67E-295
WBGene00003992,pgl-1,Gonad,1448.65,Pharynx,12.10,110.59,3.04E-296,5.18E-294
WBGene00000063,act-1,Body_wall_muscle,5312.78,Pharynx,604.80,8.77,1.18E-293,2.00E-291
WBGene00002983,lgx-1,Pharynx,1734.09,Neurons,49.79,34.14,1.16E-292,1.95E-290
WBGene00015103,B0280.7,Pharynx,999.15,Hypodermis,2.54,282.08,2.52E-291,4.19E-289
WBGene00000527,cle-1,Neurons,1462.01,Gonad,113.30,12.79,3.72E-291,6.12E-289
WBGene00001074,dpy-13,Hypodermis,6490.42,Glia,85.43,75.10,1.02E-290,1.67E-288
WBGene00006759,unc-22,Body_wall_muscle,11282.04,Pharynx,1594.97,7.07,1.16E-290,1.88E-288
WBGene00005017,sqt-2,Hypodermis,1540.42,Pharynx,9.63,144.91,1.21E-288,1.95E-286
WBGene00019289,kcc-3,Glia,3076.34,Pharynx,11.84,239.58,1.80E-288,2.87E-286
WBGene00001000,dim-1,Body_wall_muscle,2560.93,Pharynx,183.02,13.92,4.80E-288,7.61E-286
WBGene00012445,Y16B4A.2,Intestine,1838.40,Neurons,11.30,149.50,1.50E-287,2.36E-285
WBGene00018297,F41F3.3,Hypodermis,13038.63,Glia,447.36,29.08,3.40E-286,5.31E-284
WBGene00000699,col-125,Hypodermis,6341.68,Glia,115.43,54.47,1.00E-275,1.55E-273
WBGene00003057,lon-3,Hypodermis,1526.14,Pharynx,20.77,70.11,2.15E-274,3.31E-272
WBGene00007624,hrde-1,Gonad,444.04,Neurons,11.06,36.83,1.93E-273,2.94E-271
WBGene00007938,C34F6.1,Pharynx,891.97,Body_wall_muscle,7.91,100.09,3.40E-270,5.10E-268
WBGene00000779,cpn-3,Body_wall_muscle,1253.04,Pharynx,19.21,61.99,3.38E-270,5.10E-268
WBGene00000741,col-168,Hypodermis,1583.38,Pharynx,19.52,77.17,4.76E-269,7.10E-267
WBGene00000720,col-147,Hypodermis,473.33,Neurons,5.93,68.34,1.16E-264,1.72E-262
WBGene00000367,cca-1,Neurons,1079.53,Body_wall_muscle,188.82,5.69,2.26E-264,3.32E-262
WBGene00010061,F54E12.2,Gonad,660.15,Hypodermis,36.27,17.71,2.17E-262,3.16E-260
WBGene00001067,dpy-5,Hypodermis,6260.07,Glia,139.61,44.52,2.11E-259,3.06E-257
WBGene00001099,dsc-4,Intestine,1348.65,Neurons,1.47,545.90,1.09E-258,1.57E-256
WBGene00011392,sbt-1,Neurons,2318.94,Pharynx,42.30,53.56,1.03E-257,1.47E-255
WBGene00000740,col-167,Hypodermis,5244.12,Glia,88.01,58.92,2.65E-257,3.75E-255
WBGene00004174,abu-14,Pharynx,5417.86,Glia,38.49,137.21,1.06E-256,1.50E-254
WBGene00003169,mec-5,Body_wall_muscle,353.12,Neurons,8.23,38.25,1.16E-255,1.62E-253
WBGene00000691,col-117,Hypodermis,4432.35,Glia,51.83,83.91,3.24E-255,4.50E-253
WBGene00001795,gtl-1,Intestine,1510.61,Neurons,7.48,178.19,2.45E-253,3.37E-251
WBGene00005016,sqt-1,Hypodermis,4435.71,Glia,45.38,95.63,8.24E-253,1.13E-250
WBGene00018787,cutl-20,Glia,2166.99,Hypodermis,27.35,76.43,5.86E-251,7.98E-249
WBGene00014666,C05D12.3,Intestine,1484.30,Hypodermis,0.47,1012.53,1.50E-250,2.03E-248
WBGene00018292,F41E6.11,Pharynx,4730.36,Glia,15.20,292.00,2.06E-250,2.77E-248
WBGene00001832,hcp-4,Gonad,845.10,Hypodermis,88.20,9.47,5.86E-250,7.81E-248
WBGene00004104,pqn-13,Pharynx,838.47,Neurons,3.63,181.28,1.20E-249,1.59E-247
WBGene00010351,cbd-1,Gonad,1138.73,Pharynx,10.32,100.61,5.80E-249,7.64E-247
WBGene00018237,drd-2,Intestine,5457.54,Glia,6.87,693.08,2.03E-248,2.66E-246
WBGene00000739,col-166,Hypodermis,5660.11,Glia,144.64,38.86,5.51E-246,7.16E-244
WBGene00003371,mlc-3,Body_wall_muscle,3578.89,Pharynx,455.15,7.85,3.22E-245,4.16E-243
WBGene00021036,W05F2.4,Body_wall_muscle,2700.18,Pharynx,282.59,9.52,1.57E-244,2.02E-242
WBGene00003175,mec-12,Neurons,1891.15,Pharynx,31.48,58.23,1.94E-241,2.47E-239
WBGene00009221,acs-2,Body_wall_muscle,489.53,Neurons,52.87,9.09,1.18E-240,1.49E-238
WBGene00022679,ZK180.5,Hypodermis,7449.78,Glia,308.61,24.06,2.28E-238,2.87E-236
WBGene00001695,grd-6,Hypodermis,368.99,Neurons,4.03,73.38,3.70E-238,4.63E-236
WBGene00077691,T06E4.14,Pharynx,4618.34,Glia,23.05,192.03,7.58E-234,9.43E-232
WBGene00006789,unc-54,Body_wall_muscle,22382.26,Intestine,259.76,85.83,2.48E-233,3.06E-231
WBGene00020128,R193.2,Intestine,1413.80,Hypodermis,3.08,346.54,7.11E-233,8.74E-231
WBGene00000955,des-2,Neurons,412.35,Body_wall_muscle,23.04,17.15,1.99E-232,2.44E-230
WBGene00006915,vha-6,Intestine,1215.21,Neurons,0.77,687.09,2.43E-232,2.95E-230
WBGene00012341,catp-6,Gonad,825.17,Body_wall_muscle,192.25,4.27,2.73E-232,3.30E-230
WBGene00000649,col-73,Hypodermis,3446.50,Glia,31.02,107.64,3.92E-232,4.70E-230
WBGene00001856,hil-5,Gonad,499.14,Hypodermis,11.56,39.74,1.11E-226,1.32E-224
WBGene00017937,F30H5.3,Pharynx,4185.64,Glia,10.08,377.85,3.31E-226,3.92E-224
WBGene00019904,twk-49,Neurons,427.03,Body_wall_muscle,11.41,34.40,5.69E-226,6.70E-224
WBGene00006984,zig-7,Body_wall_muscle,300.50,Neurons,7.95,33.57,1.53E-225,1.80E-223
WBGene00011428,T04C12.3,Neurons,402.94,Body_wall_muscle,1.62,154.07,3.66E-225,4.27E-223
WBGene00013766,prmt-1,Gonad,952.19,Body_wall_muscle,242.93,3.90,1.14E-224,1.32E-222
WBGene00001454,flp-11,Neurons,611.05,Hypodermis,5.68,91.42,2.19E-223,2.52E-221
WBGene00009645,F42G10.1,Body_wall_muscle,243.84,Neurons,0.97,124.01,2.52E-223,2.89E-221
WBGene00019608,ani-2,Gonad,328.18,Neurons,4.17,63.45,2.65E-223,3.02E-221
WBGene00011757,cht-2,Pharynx,948.94,Gonad,2.43,276.39,6.24E-223,7.06E-221
WBGene00000611,col-34,Glia,3736.67,Hypodermis,327.37,11.38,1.62E-222,1.82E-220
WBGene00001189,egl-21,Neurons,5291.65,Glia,88.43,59.17,1.86E-221,2.08E-219
WBGene00000958,dgk-1,Neurons,592.75,Body_wall_muscle,51.56,11.28,9.65E-221,1.08E-218
WBGene00000594,col-3,Hypodermis,3277.32,Glia,38.64,82.68,4.41E-220,4.88E-218
WBGene00018701,pccb-1,Body_wall_muscle,811.34,Neurons,181.75,4.44,1.16E-219,1.28E-217
WBGene00019435,K06A9.1,Intestine,1688.61,Neurons,25.42,63.90,2.54E-218,2.78E-216
WBGene00000248,ben-1,Neurons,834.88,Gonad,66.79,12.32,3.29E-218,3.59E-216
WBGene00001131,dys-1,Body_wall_muscle,2655.07,Pharynx,336.54,7.87,4.97E-218,5.39E-216
WBGene00020788,nep-22,Intestine,1224.72,Hypodermis,0.97,622.14,5.32E-218,5.73E-216
WBGene00015514,C06A8.3,Glia,6725.58,Hypodermis,905.79,7.42,6.48E-217,6.95E-215
WBGene00000599,col-10,Hypodermis,3415.47,Glia,50.53,66.28,2.22E-215,2.37E-213
WBGene00011020,R05A10.3,Glia,767.30,Neurons,0.92,398.92,3.62E-214,3.84E-212
WBGene00001595,gld-1,Gonad,975.93,Pharynx,15.68,58.49,3.98E-214,4.20E-212
WBGene00020854,T27C4.1,Neurons,5455.85,Glia,122.51,44.17,3.54E-212,3.71E-210
WBGene00012128,nra-1,Neurons,1044.79,Gonad,138.20,7.51,7.23E-212,7.56E-210
WBGene00010540,K03H1.5,Intestine,1023.55,Body_wall_muscle,0.37,748.37,2.23E-210,2.32E-208
WBGene00003369,mlc-1,Body_wall_muscle,2040.76,Pharynx,235.93,8.61,2.54E-210,2.62E-208
WBGene00004398,rol-8,Hypodermis,3131.44,Glia,41.69,73.35,2.75E-210,2.83E-208
WBGene00001070,dpy-8,Hypodermis,390.34,Neurons,11.58,31.04,7.84E-210,8.02E-208
WBGene00007820,clec-199,Glia,789.96,Neurons,1.91,271.06,9.40E-209,9.57E-207
WBGene00006408,tag-18,Body_wall_muscle,259.20,Neurons,4.29,49.02,4.23E-208,4.29E-206
WBGene00019247,syp-4,Gonad,325.63,Neurons,3.05,80.32,3.34E-207,3.37E-205
WBGene00006747,unc-7,Neurons,833.21,Body_wall_muscle,149.31,5.54,4.09E-207,4.10E-205
WBGene00019087,F59A6.5,Gonad,546.52,Hypodermis,39.02,13.66,2.34E-206,2.33E-204
WBGene00000665,col-90,Hypodermis,2997.03,Glia,45.36,64.65,6.31E-206,6.27E-204
WBGene00004984,spn-4,Gonad,304.00,Neurons,3.70,64.69,1.94E-205,1.92E-203
WBGene00007605,asp-10,Intestine,1256.60,Neurons,7.12,154.76,1.38E-204,1.36E-202
WBGene00017065,D2092.4,Body_wall_muscle,811.97,Pharynx,10.61,69.94,5.54E-203,5.42E-201
WBGene00004364,ric-4,Neurons,1905.61,Pharynx,66.86,28.08,2.38E-202,2.32E-200
WBGene00004099,abu-15,Pharynx,743.27,Hypodermis,2.16,235.15,2.97E-201,2.88E-199
WBGene00019754,M03E7.2,Glia,1394.05,Hypodermis,7.70,160.22,8.40E-201,8.11E-199
WBGene00010738,K10D3.4,Pharynx,1224.85,Gonad,132.50,9.17,2.01E-200,1.93E-198
WBGene00008559,F07H5.8,Pharynx,780.58,Neurons,4.78,134.96,2.93E-200,2.81E-198
WBGene00016702,C46A5.6,Gonad,302.20,Neurons,4.84,51.76,2.45E-199,2.34E-197
WBGene00007176,kcnl-1,Neurons,523.67,Body_wall_muscle,47.85,10.72,2.60E-198,2.46E-196
WBGene00003749,nlp-11,Neurons,637.59,Hypodermis,6.52,84.82,2.24E-197,2.12E-195
WBGene00004301,ram-5,Glia,1410.75,Hypodermis,2.07,460.25,3.73E-197,3.50E-195
WBGene00006819,unc-87,Body_wall_muscle,2996.45,Pharynx,481.75,6.21,3.31E-195,3.09E-193
WBGene00017018,D1014.5,Hypodermis,850.06,Pharynx,8.36,90.86,1.06E-194,9.85E-193
WBGene00006517,madd-3,Body_wall_muscle,564.05,Neurons,97.65,5.72,8.03E-194,7.43E-192
WBGene00000668,col-93,Hypodermis,1035.09,Pharynx,15.27,63.61,5.18E-193,4.78E-191
WBGene00006801,unc-68,Body_wall_muscle,6585.22,Neurons,2849.88,2.31,9.65E-193,8.86E-191
WBGene00008565,acox-2,Intestine,1213.13,Hypodermis,6.05,172.13,4.91E-191,4.48E-189
WBGene00012018,T25C12.3,Intestine,3304.87,Glia,6.84,421.55,6.26E-190,5.69E-188
WBGene00004032,pkc-1,Neurons,1311.29,Gonad,277.81,4.70,6.84E-189,6.19E-187
WBGene00013459,Y67A10A.10,Glia,767.19,Hypodermis,0.62,474.02,1.60E-187,1.44E-185
WBGene00001863,him-4,Body_wall_muscle,2819.43,Glia,90.62,30.77,3.24E-187,2.90E-185
WBGene00012383,ttr-17,Body_wall_muscle,212.85,Neurons,2.44,61.80,5.44E-187,4.86E-185
WBGene00001620,glt-1,Glia,1267.05,Body_wall_muscle,78.59,15.92,1.17E-186,1.04E-184
WBGene00020732,T23E7.2,Body_wall_muscle,1035.61,Pharynx,63.42,16.07,3.57E-186,3.16E-184
WBGene00013481,Y69H2.3,Glia,4860.53,Pharynx,444.70,10.91,7.89E-185,6.96E-183
WBGene00000677,col-103,Hypodermis,4224.58,Glia,193.00,21.78,1.94E-183,1.70E-181
WBGene00006832,unc-105,Body_wall_muscle,381.54,Hypodermis,18.69,19.38,2.18E-183,1.91E-181
WBGene00022230,Y73B6A.3,Glia,651.61,Body_wall_muscle,3.74,137.34,3.71E-183,3.23E-181
WBGene00008194,C49C3.4,Intestine,1191.59,Neurons,11.56,94.88,1.60E-182,1.38E-180
WBGene00018101,math-27,Intestine,950.84,Neurons,0.00,950.84,1.83E-182,1.58E-180
WBGene00011352,rskn-1,Neurons,1028.19,Gonad,185.90,5.50,3.56E-182,3.06E-180
WBGene00019092,F59A7.5,Glia,872.30,Neurons,13.38,60.67,2.82E-181,2.41E-179
WBGene00002048,ida-1,Neurons,4804.94,Glia,153.71,31.06,3.23E-181,2.75E-179
WBGene00008628,ttr-21,Pharynx,612.05,Neurons,2.08,198.57,1.40E-180,1.18E-178
WBGene00007455,ugt-22,Intestine,1018.71,Gonad,1.15,472.76,4.04E-180,3.41E-178
WBGene00004115,pqn-26,Pharynx,678.83,Neurons,11.54,54.13,5.26E-180,4.42E-178
WBGene00011075,R07A4.4,Glia,802.85,Neurons,3.47,179.47,8.50E-180,7.12E-178
WBGene00008740,F13D12.5,Gonad,278.03,Neurons,2.54,78.47,1.48E-179,1.24E-177
WBGene00022644,dod-19,Intestine,1703.60,Pharynx,10.48,148.41,2.34E-179,1.94E-177
WBGene00013926,nep-1,Pharynx,1214.18,Neurons,78.51,15.27,5.48E-179,4.54E-177
WBGene00010150,F56D5.6,Intestine,1111.92,Gonad,5.48,171.55,8.09E-179,6.67E-177
WBGene00001071,dpy-9,Hypodermis,369.91,Gonad,4.82,63.55,1.50E-178,1.23E-176
WBGene00002263,lea-1,Gonad,786.90,Body_wall_muscle,236.00,3.32,1.99E-178,1.63E-176
WBGene00007578,C14B1.7,Gonad,320.55,Hypodermis,3.15,77.19,2.97E-178,2.41E-176
WBGene00001725,grl-16,Hypodermis,3267.50,Glia,136.98,23.68,4.72E-178,3.83E-176
WBGene00020803,T25E4.1,Pharynx,2740.30,Glia,9.22,268.14,6.81E-178,5.50E-176
WBGene00010703,K09A9.6,Body_wall_muscle,998.86,Pharynx,60.41,16.26,1.12E-177,9.00E-176
WBGene00004076,pod-2,Intestine,3433.84,Hypodermis,294.43,11.62,1.26E-177,1.01E-175
WBGene00020237,phat-4,Pharynx,6831.36,Intestine,10.95,571.85,3.33E-177,2.66E-175
WBGene00017892,F28B4.3,Intestine,1552.77,Pharynx,3.37,355.19,6.83E-177,5.43E-175
WBGene00015095,B0261.7,Gonad,220.98,Body_wall_muscle,4.14,42.97,1.49E-176,1.18E-174
WBGene00010345,F59F5.7,Glia,1926.00,Pharynx,11.68,151.95,1.70E-176,1.34E-174
WBGene00015354,snet-1,Neurons,481.96,Hypodermis,1.74,175.80,5.37E-176,4.22E-174
WBGene00000742,col-169,Hypodermis,2375.87,Glia,39.29,58.97,1.51E-174,1.18E-172
WBGene00018854,nlf-1,Neurons,410.22,Body_wall_muscle,32.44,12.27,8.05E-174,6.27E-172
WBGene00008218,nasp-2,Gonad,505.71,Hypodermis,40.94,12.06,1.22E-173,9.46E-172
WBGene00015608,math-3,Intestine,862.63,Body_wall_muscle,0.18,732.98,8.08E-173,6.25E-171
WBGene00009383,F35B12.3,Pharynx,613.13,Neurons,3.42,138.57,1.19E-171,9.20E-170
WBGene00023408,cex-2,Body_wall_muscle,224.14,Neurons,5.94,32.27,2.55E-171,1.96E-169
WBGene00003370,mlc-2,Body_wall_muscle,2729.76,Pharynx,501.91,5.43,9.23E-171,7.06E-169
WBGene00002169,isw-1,Gonad,664.56,Neurons,117.48,5.61,9.44E-171,7.19E-169
WBGene00020808,clik-1,Body_wall_muscle,6438.44,Intestine,77.42,82.10,1.28E-170,9.72E-169
WBGene00011692,T10G3.1,Body_wall_muscle,295.36,Neurons,22.34,12.65,2.72E-170,2.06E-168
WBGene00001537,gcy-11,Neurons,408.50,Body_wall_muscle,27.18,14.50,1.65E-168,1.24E-166
WBGene00017968,skpo-3,Hypodermis,749.20,Pharynx,13.57,51.41,1.37E-167,1.03E-165
WBGene00000479,cgh-1,Gonad,1663.84,Pharynx,206.74,8.01,2.62E-167,1.96E-165
WBGene00017948,mth-1,Intestine,886.18,Body_wall_muscle,3.27,207.63,1.53E-166,1.14E-164
WBGene00018221,F40A3.6,Body_wall_muscle,234.02,Neurons,8.55,24.50,4.93E-166,3.66E-164
WBGene00006771,tln-1,Body_wall_muscle,931.01,Neurons,272.97,3.40,4.55E-165,3.37E-163
WBGene00018692,F52E1.2,Glia,556.25,Body_wall_muscle,0.48,376.16,5.55E-165,4.09E-163
WBGene00003515,myo-3,Body_wall_muscle,5916.88,Intestine,75.85,76.99,6.29E-165,4.62E-163
WBGene00007552,C13C12.2,Glia,1538.76,Hypodermis,79.25,19.17,8.77E-165,6.42E-163
WBGene00008921,F17C11.10,Gonad,613.36,Hypodermis,81.11,7.47,2.68E-164,1.95E-162
WBGene00013273,marc-5,Neurons,456.48,Body_wall_muscle,58.38,7.69,3.66E-164,2.66E-162
