Table S11: Differential expression test results for amphid vs. phasmid sheath cells. ,,,,,
gene_id,symbol,q-value,amphid TPM,phasmid TPM,"moderated log2
(amphid / phasmid)"
WBGene00010226,F58A4.1,7.86E-07,0.000,461.424,-8.850
WBGene00001853,hil-2,8.56E-07,18.637,457.675,-4.543
WBGene00012005,jun-1,1.04E-06,77.579,597.385,-2.926
WBGene00022657,ZK105.6,1.14E-06,525.171,0.000,9.037
WBGene00018787,cutl-20,1.22E-06,0.000,553.069,-9.111
WBGene00010515,K02E11.6,1.48E-06,846.242,57.491,3.855
WBGene00235113,ZK105.12,2.11E-06,42.086,516.049,-3.582
WBGene00010512,K02E11.3,2.93E-06,1692.135,360.756,2.226
WBGene00000491,che-12,3.86E-06,672.929,56.323,3.553
WBGene00011072,tag-209,3.90E-06,4422.274,970.418,2.187
WBGene00000273,brp-1,6.25E-06,35.100,584.257,-4.017
WBGene00010177,F57A8.1,6.25E-06,48.125,729.554,-3.892
WBGene00001758,gst-10,7.66E-06,848.913,102.865,3.031
WBGene00017748,F23F1.7,9.20E-06,0.000,432.710,-8.757
WBGene00021039,W05F2.7,1.11E-05,533.730,24.991,4.360
WBGene00017945,F31D5.2,1.21E-05,429.568,0.000,8.747
WBGene00011244,R11D1.3,1.26E-05,983.264,174.977,2.482
WBGene00008203,clec-198,1.46E-05,639.098,48.563,3.689
WBGene00009995,F53F4.13,1.49E-05,15347.426,5873.182,1.386
WBGene00011708,T11B7.5,1.50E-05,6266.640,1899.361,1.721
WBGene00018976,daam-1,2.45E-05,57.499,641.698,-3.455
WBGene00013578,scav-2,2.55E-05,2.934,442.705,-6.814
WBGene00009500,F36H2.3,4.23E-05,1298.534,2994.479,-1.204
WBGene00017984,F32D1.5,5.40E-05,97.365,246.892,-1.328
WBGene00016006,fln-2,6.04E-05,234.839,714.347,-1.599
WBGene00004204,swsn-4,8.01E-05,108.236,512.201,-2.229
WBGene00044404,F36H2.5,9.94E-05,1475.506,3959.953,-1.423
WBGene00000120,aly-1,0.000109711307142517,27.887,108.790,-1.913
WBGene00008532,dpt-1,0.000110014703212147,63.379,542.446,-3.075
WBGene00004902,snf-3,0.000122974172589086,388.122,1402.541,-1.850
WBGene00008777,F13H10.6,0.000136624661029322,54.649,378.630,-2.766
WBGene00023502,clec-184,0.000142560810173736,1079.857,217.298,2.306
WBGene00014171,nep-26,0.000194789065945569,339.307,0.000,8.406
WBGene00019780,M60.4,0.000198725215972843,298.156,1316.829,-2.138
WBGene00003776,nmy-1,0.000203727637567732,213.407,824.184,-1.943
WBGene00011758,T13H5.4,0.000226894431817259,30.783,155.704,-2.292
WBGene00000383,cdc-14,0.000263591722617274,90.275,285.922,-1.647
WBGene00000066,act-4,0.000280593686248695,524.024,1755.001,-1.741
WBGene00002053,ifb-1,0.00030997513258972,396.281,1583.607,-1.995
WBGene00011978,T24B8.4,0.00030997513258972,91.983,408.088,-2.134
WBGene00016362,C33G8.4,0.000331280334550346,4054.533,1636.492,1.308
WBGene00006999,zyx-1,0.000498834432753413,86.444,158.748,-0.860
WBGene00018297,F41F3.3,0.000516871078045302,56.013,359.688,-2.657
WBGene00014091,ZK822.4,0.000582374874555377,33488.622,13571.224,1.303
WBGene00001679,gpb-1,0.000653849171034348,220.695,905.513,-2.030
WBGene00008521,F02D8.4,0.000719347000733563,305.522,0.000,8.255
WBGene00013327,Y57G11C.38,0.000719347000733563,1774.255,634.122,1.482
WBGene00001796,gtl-2,0.000744457934244305,1.883,343.888,-6.898
WBGene00007969,acs-19,0.000744457934244305,183.275,656.586,-1.833
WBGene00011977,T24B8.3,0.00129187700841231,64.567,529.832,-3.014
WBGene00009477,rbpl-1,0.00149343083654031,116.122,267.753,-1.193
WBGene00016097,C25E10.8,0.00152108720167169,260.339,0.000,8.024
WBGene00003482,mua-3,0.00153440182556161,180.163,740.563,-2.031
WBGene00003616,nhr-17,0.00153440182556161,604.400,57.461,3.370
WBGene00008666,F10G8.8,0.00153440182556161,139.010,654.186,-2.224
WBGene00011304,mnk-1,0.00153440182556161,556.043,1109.693,-0.994
WBGene00018051,che-10,0.00153440182556161,90.448,259.087,-1.502
WBGene00009056,F22D6.15,0.00157565965152215,1466.348,533.462,1.456
WBGene00004185,pro-1,0.00160786817127749,23.023,439.206,-4.192
WBGene00009577,F40F8.4,0.00163588085081398,10304.777,4527.698,1.186
WBGene00004032,pkc-1,0.00170233603171926,405.279,38.763,3.349
WBGene00008932,F18A11.5,0.00170233603171926,27.056,108.449,-1.951
WBGene00015711,C12D5.10,0.00176725699084692,484.481,0.000,8.920
WBGene00006331,sup-26,0.00181348458484237,60.446,511.255,-3.057
WBGene00003150,mbk-2,0.00184233071336323,138.325,520.681,-1.902
WBGene00007913,cyp-36A1,0.00184233071336323,233.169,755.764,-1.690
WBGene00010357,H03A11.2,0.00246799060688807,294.071,822.030,-1.478
WBGene00017794,mltn-13,0.00257549548987693,801.250,193.199,2.045
WBGene00008386,cdc-5L,0.00259057085059905,18.247,237.179,-3.623
WBGene00006874,vab-8,0.00280770580442242,10.381,261.092,-4.520
WBGene00003408,mrp-2,0.00282836519796297,221.730,937.460,-2.073
WBGene00002252,lat-2,0.00289191724573731,48.948,340.192,-2.768
WBGene00004773,sem-4,0.00299200943322652,3.494,212.320,-5.562
WBGene00007016,mdt-15,0.00299200943322652,305.619,957.662,-1.643
WBGene00010957,nduo-6,0.00299200943322652,186.006,365.271,-0.966
WBGene00016095,C25E10.5,0.00299200943322652,291.472,1027.941,-1.813
WBGene00015620,C08G9.2,0.00317056473633494,246.244,0.000,7.944
WBGene00022500,lfi-1,0.00330328069835528,112.326,569.854,-2.330
WBGene00021986,Y59C2A.3,0.00349622817080201,79.400,226.201,-1.492
WBGene00004313,rbc-1,0.00369866422410735,273.352,695.757,-1.343
WBGene00019868,R04B3.3,0.00369866422410735,3409.032,7657.684,-1.167
WBGene00044790,clec-224,0.00369866422410735,246.505,5.199,5.313
WBGene00012532,crp-1,0.00370026189996222,7.481,200.763,-4.565
WBGene00018700,lmd-3,0.00382748936637842,869.782,1404.960,-0.690
WBGene00022423,nhr-41,0.00382748936637842,42.497,364.357,-3.066
WBGene00017836,F26F12.5,0.00412297134603312,122.055,665.978,-2.436
WBGene00019168,H06I04.3,0.00412297134603312,177.305,454.459,-1.350
WBGene00016405,hecd-1,0.00418160268333965,555.516,1096.253,-0.978
WBGene00011383,T02E9.5,0.00458262466701936,138.303,207.036,-0.572
WBGene00012139,T28F4.4,0.00458262466701936,20.752,455.472,-4.388
WBGene00013458,Y67A10A.9,0.00505155158708498,53.676,291.039,-2.412
WBGene00019629,cid-1,0.00505155158708498,19.238,55.394,-1.453
WBGene00019217,athp-2,0.00508601349264017,14.888,65.882,-2.052
WBGene00008053,cdc-48.2,0.00520715620821672,95.551,172.522,-0.837
WBGene00016152,pho-12,0.00520715620821672,262.821,26.353,3.264
WBGene00018193,F39C12.1,0.00520715620821672,224.961,485.967,-1.105
WBGene00000268,bre-3,0.00547834112062409,233.840,839.613,-1.838
WBGene00001505,fut-1,0.00547834112062409,21.192,0.000,4.405
WBGene00017834,F26F12.3,0.00548776183851944,427.244,1442.101,-1.752
WBGene00004358,rhr-1,0.00555098103257328,241.861,855.090,-1.816
WBGene00008767,F13G3.7,0.00555098103257328,16.138,87.556,-2.353
WBGene00014025,asna-1,0.00555098103257328,16.224,80.647,-2.227
WBGene00003690,nhr-100,0.00613239140713779,54.304,398.666,-2.850
WBGene00015514,C06A8.3,0.00631021266931008,1901.979,4355.955,-1.195
WBGene00016143,eri-9,0.00631021266931008,8.027,132.095,-3.871
WBGene00017699,flcn-1,0.00631021266931008,98.898,412.259,-2.045
WBGene00010550,K04B12.2,0.00636694504946288,191.969,10.398,4.074
WBGene00004894,sms-3,0.00660480451176273,162.995,509.051,-1.634
WBGene00013545,Y75B8A.8,0.00681292225974702,58.451,155.276,-1.385
WBGene00235114,ZK105.13,0.00701979023471706,225.364,839.768,-1.891
WBGene00003209,mel-26,0.00709075143602344,35.839,256.417,-2.799
WBGene00006575,tir-1,0.00709075143602344,1678.477,3863.208,-1.202
WBGene00017379,F11C7.7,0.00711410546648282,196.646,0.000,7.619
WBGene00019511,K08A2.1,0.00714835398043987,90.753,351.147,-1.936
WBGene00010772,K11D9.3,0.00721089364052194,77.308,353.956,-2.176
WBGene00018692,F52E1.2,0.007452018827258,1710.826,790.673,1.112
WBGene00021423,tftc-1,0.007452018827258,61.549,91.728,-0.552
WBGene00007053,chd-7,0.00760740636471557,399.112,1048.809,-1.390
WBGene00011269,R17.3,0.00760740636471557,28.827,294.377,-3.303
WBGene00020592,ugt-12,0.00760740636471557,7.338,327.770,-5.297
WBGene00000082,adt-1,0.00768021991594645,97.961,426.444,-2.107
WBGene00007944,C34F6.10,0.00779946872520188,118.985,456.148,-1.927
WBGene00004782,set-2,0.00843825396210296,39.840,122.362,-1.583
WBGene00018561,gadr-3,0.00853360815187037,193.914,0.000,7.599
WBGene00013034,tat-1,0.00865132429472836,229.246,268.955,-0.224
WBGene00006438,nrfl-1,0.00929458493629234,203.439,602.904,-1.560
WBGene00002050,ifa-1,0.009713033208102,67.551,272.995,-1.994
WBGene00004371,rig-4,0.0106333640127537,453.097,1323.041,-1.543
WBGene00001854,hil-3,0.0106348084400772,46.081,416.442,-3.145
WBGene00004892,sms-1,0.0107147219676756,43.330,391.628,-3.143
WBGene00018265,nhr-182,0.0114435749267096,41.662,234.895,-2.461
WBGene00009188,lsy-22,0.0119107671471545,29.143,263.523,-3.128
WBGene00018285,smk-1,0.0119107671471545,132.012,319.321,-1.263
WBGene00011456,T05A1.5,0.0121017501451184,209.885,0.000,7.713
WBGene00009532,ccch-1,0.0121402632512228,45.783,177.492,-1.924
WBGene00004373,rme-1,0.0127125588739383,233.898,583.895,-1.314
WBGene00020530,T15B12.1,0.0131225430036677,19.516,97.912,-2.255
WBGene00008152,C47E12.9,0.0131429014393999,176.935,790.329,-2.151
WBGene00006172,str-121,0.0131601291101403,32.858,171.533,-2.341
WBGene00007104,B0024.15,0.0131601291101403,417.450,95.071,2.119
WBGene00012226,W03G11.4,0.0131601291101403,13.651,227.595,-3.957
WBGene00017514,F16F9.3,0.0131601291101403,808.386,307.686,1.389
WBGene00017829,F26F4.9,0.0131601291101403,30.089,114.482,-1.881
WBGene00011444,T04F8.6,0.0140390417693627,78.690,473.908,-2.572
WBGene00002052,ifa-4,0.0143041834486536,87.626,189.000,-1.093
WBGene00003598,nhl-2,0.0143041834486536,73.727,375.500,-2.329
WBGene00011830,cyp-29A2,0.0143041834486536,44.955,214.429,-2.222
WBGene00009985,F53F4.1,0.0144472832477244,24.790,170.751,-2.727
WBGene00004310,ras-1,0.0145056506287662,171.947,5.199,4.794
WBGene00000170,aqp-2,0.0145679486612707,59.465,550.044,-3.185
WBGene00006941,wnk-1,0.0145679486612707,330.465,995.188,-1.586
WBGene00007907,C34B4.2,0.0145679486612707,17.323,249.435,-3.767
WBGene00013160,Y53F4B.13,0.0149073938855775,14.394,191.536,-3.637
WBGene00002185,kel-3,0.0152810050140021,13.267,91.562,-2.682
WBGene00044061,tbc-12,0.0153802466900165,46.189,273.511,-2.535
WBGene00019754,M03E7.2,0.0155000699299768,420.622,807.979,-0.938
WBGene00003044,lir-1,0.0159076969179361,169.596,453.337,-1.410
WBGene00001494,frm-8,0.0160035473612754,551.078,52.329,3.369
WBGene00006815,unc-83,0.016540467162251,16.975,60.061,-1.740
WBGene00007027,ssl-1,0.0169242542735465,188.432,415.076,-1.132
WBGene00045063,Y37A1A.4,0.0169529032064858,92.992,181.450,-0.949
WBGene00010199,bet-2,0.0173055202929045,88.274,233.113,-1.385
WBGene00007947,C35A5.3,0.0174856360300605,199.624,0.000,7.641
WBGene00004751,sea-2,0.0177359839266134,266.493,297.183,-0.152
WBGene00008878,ppfr-1,0.0179043897083249,172.280,596.414,-1.783
WBGene00004122,pqn-35,0.018194531692974,1912.127,4238.790,-1.148
WBGene00013899,ZC443.4,0.0187646935300173,33.348,320.814,-3.223
WBGene00021875,Y54G2A.10,0.0189272887495314,2565.533,1238.648,1.049
WBGene00004213,ptp-1,0.0191990180090284,27.257,182.347,-2.690
WBGene00011725,lips-5,0.0191990180090284,168.488,0.000,7.397
WBGene00010923,rle-1,0.0192291918733087,54.959,235.298,-2.072
WBGene00001080,dpy-21,0.0197398208298822,224.543,571.823,-1.342
WBGene00006975,zfp-1,0.0197398208298822,193.236,531.079,-1.451
WBGene00016180,C28C12.4,0.0197398208298822,202.411,593.708,-1.545
WBGene00018696,pho-6,0.019985432647629,619.528,1396.897,-1.171
WBGene00018776,F53H1.1,0.0200376252854938,34.450,211.914,-2.580
WBGene00013140,mop-25.2,0.0202322226371511,58.871,344.041,-2.523
WBGene00009512,F37H8.3,0.0204493543587103,44.280,345.012,-2.930
WBGene00006936,glp-4,0.0209359548593737,181.220,292.374,-0.682
WBGene00010052,F54D5.7,0.0209359548593737,19.321,150.302,-2.887
WBGene00011021,R05A10.4,0.0209359548593737,287.945,691.355,-1.259
WBGene00009919,F52A8.6,0.0210804198037395,34.208,140.232,-1.994
WBGene00002036,hum-2,0.0215431831191038,316.240,541.307,-0.771
WBGene00014697,cyp-25A3,0.0218679019674233,125.152,3.573,4.774
WBGene00002078,xpo-1,0.0219934812480927,71.900,181.367,-1.315
WBGene00009290,F31D4.2,0.0219934812480927,50.413,343.313,-2.739
WBGene00020343,acs-3,0.0219934812480927,134.707,0.000,7.074
WBGene00003794,npp-8,0.0223600968907111,38.577,363.912,-3.201
WBGene00007184,ctr-9,0.023684501416414,55.009,198.370,-1.824
WBGene00002027,hsr-9,0.0236867760463649,81.488,327.401,-1.989
WBGene00006779,unc-43,0.0236867760463649,294.568,725.706,-1.296
WBGene00194869,K01A6.8,0.0244736099464957,332.263,69.677,2.233
WBGene00003003,lin-14,0.0244893767357869,160.963,338.185,-1.062
WBGene00014108,ZK856.7,0.0245175871999146,1568.245,559.450,1.484
WBGene00018187,F38E9.5,0.0245175871999146,37.639,209.867,-2.441
WBGene00004167,pqn-87,0.0246346909048776,730.289,1698.384,-1.216
WBGene00004349,rgs-6,0.0246346909048776,133.116,307.887,-1.199
WBGene00018734,F53A10.2,0.0246346909048776,650.704,1543.823,-1.244
WBGene00016018,C23H3.2,0.024944994240058,223.226,438.033,-0.966
WBGene00009975,F53C11.5,0.0252734691526886,179.691,422.553,-1.226
WBGene00003847,blmp-1,0.0253024706189607,67.705,288.716,-2.071
WBGene00000105,alg-1,0.0253764782914631,31.104,292.115,-3.186
WBGene00007912,C34B7.2,0.025582451876274,27.513,65.563,-1.201
WBGene00017613,F20A1.1,0.0257731573236834,13125.554,6308.037,1.057
WBGene00006510,mtrr-1,0.0269654391973997,23.905,126.741,-2.347
WBGene00012550,hpo-21,0.0269654391973997,243.785,17.359,3.731
WBGene00020111,R151.8,0.0269654391973997,19.724,279.240,-3.752
WBGene00000366,cbp-1,0.0274055119346653,387.143,787.903,-1.021
WBGene00006483,dgk-4,0.0274055119346653,48.160,157.611,-1.681
WBGene00007877,nfki-1,0.027533378447746,70.614,320.345,-2.161
WBGene00018423,F44E2.10,0.0276261647338019,230.852,28.115,2.987
WBGene00017620,tofu-2,0.0279580567897845,219.271,684.170,-1.635
WBGene00009507,mus-101,0.0282573856781957,21.829,145.853,-2.676
WBGene00019237,H24G06.1,0.0287436153845797,305.559,800.701,-1.385
WBGene00006476,rhgf-2,0.0293941376849769,419.623,848.354,-1.012
WBGene00023405,sor-1,0.0294302810203775,104.023,335.780,-1.677
WBGene00044689,arid-1,0.0295076573224227,24.499,105.605,-2.050
WBGene00000548,clr-1,0.0298424824752242,128.342,199.005,-0.622
WBGene00017734,F23C8.5,0.0298424824752242,14.232,65.389,-2.102
WBGene00008571,prmn-1,0.0301083875112446,111.813,515.767,-2.193
WBGene00004788,sft-4,0.0308166132892146,321.036,83.048,1.933
WBGene00022793,ZK686.3,0.0308166132892146,557.625,225.127,1.302
WBGene00015581,C07H6.4,0.0308308007156339,82.618,343.720,-2.039
WBGene00002855,let-721,0.0309637592340919,122.454,8.519,3.685
WBGene00017642,F20D12.2,0.0309637592340919,77.706,311.261,-1.984
WBGene00008800,F14E5.2,0.03149743202484,305.710,674.671,-1.137
WBGene00004132,ifet-1,0.0319239752489067,76.442,322.720,-2.059
WBGene00011298,R107.2,0.0319239752489067,148.078,0.000,7.210
WBGene00006788,unc-53,0.0323162370599063,21.811,195.126,-3.097
WBGene00013530,ntl-11,0.0324801609524419,58.718,132.567,-1.150
WBGene00018872,F55C12.5,0.0324801609524419,63.205,199.055,-1.632
WBGene00219236,K03B4.9,0.0324801609524419,449.683,123.549,1.852
WBGene00020784,tat-4,0.0331030294170644,154.699,0.000,7.273
WBGene00007860,rilp-1,0.0331416492995762,39.085,181.043,-2.175
WBGene00022717,hipr-1,0.0331416492995762,42.937,156.971,-1.837
WBGene00002998,lin-9,0.0333435928555542,14.103,127.029,-3.072
WBGene00003163,mdl-1,0.0333435928555542,268.709,385.575,-0.516
WBGene00011075,R07A4.4,0.0333435928555542,1589.927,3442.723,-1.114
WBGene00018519,F46H5.3,0.0337070013081935,1594.482,563.617,1.498
WBGene00011020,R05A10.3,0.0339102653583131,2310.846,1257.232,0.877
WBGene00022263,Y73C8C.4,0.0348647852948681,133.331,0.000,7.059
WBGene00001955,hlh-11,0.0352700855933844,374.080,473.698,-0.337
WBGene00194895,ZK105.11,0.0353005571751801,139.333,0.000,7.122
WBGene00009924,cfp-1,0.0353450105506275,24.641,77.138,-1.589
WBGene00019327,zip-2,0.0354534235487825,376.844,964.343,-1.352
WBGene00021735,Y50D4A.1,0.0355575602153405,14.280,111.453,-2.867
WBGene00013167,Y53F4B.21,0.0357611706051403,13.365,84.944,-2.564
WBGene00003527,nas-8,0.0361049417276294,322.860,857.062,-1.404
WBGene00002223,klp-12,0.0366699854641025,689.866,969.734,-0.489
WBGene00006460,ppm-1,0.0370823183236004,92.496,171.921,-0.879
WBGene00000086,aex-3,0.0372743822583326,108.349,388.144,-1.828
WBGene00003052,lmn-1,0.0380462991153404,108.988,203.530,-0.888
WBGene00004161,pqn-80,0.0382031766307641,119.127,194.691,-0.697
WBGene00009881,F49C12.12,0.0382031766307641,344.220,111.264,1.616
WBGene00019762,M03F8.3,0.0384395962521916,8.856,116.091,-3.558
WBGene00004468,rpn-12,0.0391452852185313,21.908,87.366,-1.931
WBGene00002889,let-765,0.0393184416630831,142.693,333.991,-1.217
WBGene00003695,nhr-105,0.0393184416630831,59.932,220.744,-1.857
WBGene00003831,nuo-1,0.0393184416630831,53.945,229.042,-2.060
WBGene00004105,szy-20,0.03935409647552,17.024,108.983,-2.596
WBGene00018520,F46H5.4,0.03935409647552,36.515,337.808,-3.171
WBGene00002189,kin-1,0.0397138164955391,55.088,228.963,-2.029
WBGene00005004,spp-19,0.0397138164955391,147.255,10.398,3.691
WBGene00020600,trd-1,0.0397138164955391,28.190,39.362,-0.431
WBGene00009322,tbc-3,0.0398581233353921,65.346,122.736,-0.887
WBGene00003172,mec-8,0.0398818276498743,36.521,179.432,-2.258
WBGene00006769,unc-33,0.0407359205392478,21.575,45.336,-1.006
WBGene00016539,madd-2,0.0407359205392478,125.905,0.000,6.976
WBGene00008555,F07C6.4,0.0412075416651606,80.224,302.986,-1.899
WBGene00009314,F32B4.4,0.0412075416651606,13.766,53.291,-1.852
WBGene00003511,mxl-3,0.0412718167933647,97.463,438.541,-2.155
WBGene00004760,sel-2,0.0426437754072585,241.939,831.553,-1.775
WBGene00004930,sod-1,0.0426437754072585,127.360,0.000,6.993
WBGene00017431,F13H6.3,0.0426437754072585,130.148,0.000,7.024
WBGene00002717,let-526,0.0429334164246938,423.201,1121.093,-1.402
WBGene00007801,trpa-1,0.0434220294543999,70.956,201.939,-1.489
WBGene00016868,C52B9.8,0.0437921536726832,109.418,356.804,-1.692
WBGene00001507,fut-4,0.0444611605617969,29.104,169.220,-2.491
WBGene00004140,ebax-1,0.0447950875204088,76.520,219.121,-1.499
WBGene00010713,uso-1,0.0448564398113165,71.533,240.623,-1.730
WBGene00004738,scc-3,0.0454298039224716,11.875,50.536,-1.973
WBGene00021009,afd-1,0.0459133208593366,111.674,376.183,-1.739
WBGene00003915,pan-1,0.0461697706273242,145.566,266.938,-0.865
WBGene00010242,F58D5.2,0.0461697706273242,12.082,249.404,-4.253
WBGene00022059,Y67D8A.2,0.0461697706273242,56.525,121.176,-1.075
WBGene00009587,mig-38,0.0468334937290033,272.438,396.101,-0.535
WBGene00001806,gur-5,0.0470481243896443,56.938,228.301,-1.978
WBGene00007651,nra-3,0.0470481243896443,30.395,203.093,-2.694
WBGene00010280,rde-12,0.0470481243896443,87.787,343.056,-1.950
WBGene00011484,T05E11.8,0.0470481243896443,1300.940,333.862,1.958
WBGene00020697,T22F3.7,0.0470481243896443,17.962,122.947,-2.697
WBGene00009536,F38C2.4,0.0471270139005361,39.658,139.372,-1.777
WBGene00021532,Y42G9A.2,0.0479086780438417,1707.614,778.367,1.132
WBGene00008258,mans-2,0.0479811248288369,149.131,443.402,-1.562
WBGene00004113,pqn-24,0.0486394345065484,200.101,17.351,3.447
WBGene00010221,F57G12.1,0.0487589666736754,88.041,321.179,-1.851
WBGene00016744,bbs-9,0.0491605971588551,124.166,0.000,6.956
WBGene00019399,K04F10.7,0.0492053685012637,17.079,92.271,-2.352
WBGene00022350,Y82E9BR.18,0.0492053685012637,16.380,123.924,-2.834
WBGene00015055,pitr-3,0.0494998594843256,63.529,328.924,-2.350
WBGene00011587,T07F10.1,0.0497738903563221,63.279,365.369,-2.507
WBGene00018758,F53E10.1,0.0498930707042034,33.768,192.383,-2.468
WBGene00009770,F46B6.5,0.0499113308587481,54.047,0.000,5.756
WBGene00006755,unc-16,0.0503245840793331,110.039,272.785,-1.297
WBGene00011867,chc-1,0.0508307968587414,155.864,311.349,-0.989
WBGene00012472,Y17G7B.21,0.0512313891888864,118.401,315.582,-1.402
WBGene00002074,ima-3,0.0512956247674199,98.887,428.098,-2.100
WBGene00015232,B0511.6,0.0513136533940802,68.080,184.756,-1.419
WBGene00008006,tag-325,0.0517175251156652,25.742,168.466,-2.655
WBGene00005015,spt-5,0.0525278621504889,45.798,134.769,-1.526
WBGene00022410,Y97E10C.1,0.0528169806525726,52.694,139.024,-1.373
WBGene00015091,B0261.1,0.053038238946787,37.336,219.428,-2.517
WBGene00000065,act-3,0.0531555901036141,40.173,228.823,-2.474
WBGene00018201,btb-18,0.0531555901036141,148.857,8.519,3.967
WBGene00021754,hpo-29,0.0536883754874151,67.918,257.822,-1.903
WBGene00001638,gly-13,0.0537228684025527,124.515,0.000,6.960
WBGene00007552,C13C12.2,0.0543915949640347,70.882,356.484,-2.310
WBGene00012722,Y39G8B.1,0.0543915949640347,191.694,20.001,3.190
WBGene00015547,ain-1,0.0543915949640347,93.532,221.183,-1.226
WBGene00003792,npp-6,0.0544957970075164,17.606,192.415,-3.370
WBGene00008121,C46F11.6,0.0544957970075164,40.203,336.975,-3.032
WBGene00008274,C53B4.4,0.0544957970075164,82.333,198.329,-1.251
WBGene00016100,C25E10.11,0.0544957970075164,127.356,0.000,6.993
WBGene00022361,Y92H12A.5,0.0544957970075164,34.113,88.864,-1.340
WBGene00022603,gck-2,0.0544957970075164,47.229,239.619,-2.313
WBGene00023491,tsp-21,0.0544957970075164,16.976,108.997,-2.600
WBGene00022748,oaz-1,0.0559213153740204,98.621,339.679,-1.770
WBGene00017993,cec-5,0.0568153839436653,65.994,367.116,-2.454
WBGene00006571,tim-1,0.0573208863120883,40.606,202.779,-2.285
WBGene00000161,apa-2,0.0574388303824744,39.106,88.330,-1.139
WBGene00007849,tbc-19,0.0574388303824744,285.635,792.854,-1.468
WBGene00008149,pyp-1,0.0574388303824744,191.552,670.318,-1.800
WBGene00012646,lron-10,0.0574388303824744,60.750,297.751,-2.270
WBGene00000882,cyn-6,0.057563622277706,16.712,83.764,-2.242
WBGene00001707,grh-1,0.057563622277706,126.990,430.987,-1.752
WBGene00001784,gst-36,0.057563622277706,480.330,1255.786,-1.383
WBGene00004210,ptc-3,0.057563622277706,202.058,585.845,-1.529
WBGene00013094,Y51H1A.3,0.057563622277706,11.798,84.834,-2.729
WBGene00013438,ztf-29,0.057563622277706,44.677,264.278,-2.533
WBGene00004890,smp-2,0.0577923995513966,103.599,0.000,6.695
WBGene00018090,F36D4.5,0.0577923995513966,91.181,0.000,6.511
WBGene00018740,tra-4,0.0587796565283607,30.834,99.612,-1.646
WBGene00021466,Y39G10AR.8,0.058787694291021,112.851,302.297,-1.409
WBGene00000403,casy-1,0.0595739872396538,109.035,0.000,6.769
WBGene00004245,puf-9,0.0595739872396538,77.415,142.903,-0.866
WBGene00007626,rnf-121,0.0595739872396538,55.269,367.689,-2.708
WBGene00020058,R13D11.4,0.0595739872396538,131.961,0.000,7.044
WBGene00021535,wht-7,0.0595739872396538,189.280,21.785,3.054
WBGene00006720,ubc-25,0.0600910500090955,37.463,156.427,-2.024
WBGene00018518,F46H5.2,0.0600910500090955,57.780,240.636,-2.033
WBGene00013803,snx-13,0.0605151467401385,46.616,129.202,-1.440
WBGene00003687,nhr-97,0.0611224652271828,183.756,347.125,-0.910
WBGene00019466,tos-1,0.0611224652271828,2286.419,3691.301,-0.690
WBGene00003559,ncl-1,0.0612611015791956,228.119,476.340,-1.056
WBGene00012712,ttm-1,0.0616491727446184,28.430,87.050,-1.565
WBGene00004506,rpt-6,0.061964042699833,24.279,39.892,-0.658
WBGene00009508,row-1,0.0626248824750681,42.029,215.219,-2.322
