Table S7: Differential expression test results for the identification of cell type enriched genes. ,,,,,,,,
gene_id,symbol,max.cell.type,max.cell.type.expr,cell.type.2,cell.type.2.expr,ratio,pval,qval
WBGene00003097,lys-8,Pharyngeal_gland,10360.95,Intestine,407.77,25.35,2.16E-101,7.54E-99
WBGene00015103,B0280.7,Pharyngeal_gland,7397.00,Pharyngeal_muscle,19.09,368.18,2.28E-101,7.83E-99
WBGene00009995,F53F4.13,Am/PH_sheath_cells,12174.14,Socket_cells,326.64,37.16,4.69E-101,1.59E-98
WBGene00000845,cup-4,Coelomocytes,4718.17,GABAergic_neurons,40.53,113.60,1.04E-100,3.46E-98
WBGene00008565,acox-2,Intestine,1213.13,Non-seam_hypodermis,15.47,73.64,1.41E-100,4.61E-98
WBGene00000734,col-161,Non-seam_hypodermis,943.76,Seam_cells,98.49,9.49,1.56E-97,5.02E-95
WBGene00013514,Y73F4A.1,Coelomocytes,6175.81,Pharyngeal_neurons,23.08,256.50,1.61E-97,5.10E-95
WBGene00009577,F40F8.4,Am/PH_sheath_cells,8547.87,Socket_cells,197.70,43.02,8.95E-96,2.79E-93
WBGene00007868,C32H11.5,Pharyngeal_gland,3546.53,Intestine,0.78,1994.40,1.09E-94,3.34E-92
WBGene00003175,mec-12,Touch_receptor_neurons,23428.01,Other_interneurons,1296.75,18.05,7.38E-93,2.23E-90
WBGene00019958,R08E3.2,Intestine,462.78,Body_wall_muscle,0.09,426.50,2.22E-92,6.62E-90
WBGene00015786,C15B12.4,Am/PH_sheath_cells,1670.07,Ciliated_sensory_neurons,8.33,178.92,1.30E-91,3.82E-89
WBGene00003173,mec-9,Touch_receptor_neurons,7088.61,Cholinergic_neurons,374.35,18.89,1.84E-91,5.31E-89
WBGene00000616,col-39,Non-seam_hypodermis,2498.70,Seam_cells,586.70,4.25,8.41E-91,2.40E-88
WBGene00001476,fmo-1,Intestine,468.50,Body_wall_muscle,0.31,357.28,3.50E-90,9.84E-88
WBGene00001710,grl-1,Socket_cells,8824.10,Am/PH_sheath_cells,177.65,49.39,1.53E-89,4.24E-87
WBGene00011708,T11B7.5,Am/PH_sheath_cells,4869.19,Socket_cells,57.79,82.83,4.11E-87,1.13E-84
WBGene00015591,cyk-7,Germline,152.13,Body_wall_muscle,9.05,15.14,4.50E-87,1.22E-84
WBGene00012018,T25C12.3,Intestine,3304.87,Socket_cells,16.36,190.34,5.48E-87,1.46E-84
WBGene00015059,B0228.1,Excretory_cells,8632.21,Socket_cells,86.81,98.30,5.59E-87,1.47E-84
WBGene00008298,C54D10.3,Pharyngeal_gland,9331.30,Pharyngeal_muscle,121.76,76.01,4.11E-86,1.07E-83
WBGene00009388,F35B12.9,Am/PH_sheath_cells,8675.43,Socket_cells,293.55,29.45,9.64E-86,2.47E-83
WBGene00009408,F35C12.3,Coelomocytes,1480.78,Non-seam_hypodermis,61.62,23.65,1.26E-85,3.20E-83
WBGene00011330,T01D3.6,Intestine,929.28,Non-seam_hypodermis,5.54,141.99,5.56E-85,1.39E-82
WBGene00022181,pho-9,Intestine,664.31,Germline,18.61,33.88,6.10E-85,1.51E-82
WBGene00019895,aagr-2,Intestine,1302.02,Body_wall_muscle,182.38,7.10,2.06E-84,5.03E-82
WBGene00006762,unc-25,GABAergic_neurons,14093.99,Pharyngeal_neurons,308.10,45.60,5.07E-84,1.22E-81
WBGene00010464,K01D12.5,Excretory_cells,16823.63,Socket_cells,529.85,31.69,7.06E-84,1.68E-81
WBGene00002348,myo-1,Pharyngeal_muscle,7487.14,Pharyngeal_neurons,137.00,54.25,3.39E-83,8.00E-81
WBGene00001814,haf-4,Intestine,542.39,Germline,10.43,47.45,8.82E-83,2.06E-80
WBGene00019617,K10C2.1,Intestine,6565.49,Canal_associated_neurons,35.16,181.57,1.02E-81,2.33E-79
WBGene00017600,ttr-10,Intestinal/rectal_muscle,1971.48,Ciliated_sensory_neurons,29.23,65.22,1.03E-81,2.33E-79
WBGene00018607,F48E3.8,Pharyngeal_gland,1546.03,Body_wall_muscle,71.98,21.18,2.72E-78,6.13E-76
WBGene00003179,mec-18,Touch_receptor_neurons,7040.67,Pharyngeal_neurons,59.68,116.02,1.41E-77,3.14E-75
WBGene00009259,hpo-34,Intestine,3250.20,Touch_receptor_neurons,26.97,116.19,2.27E-77,5.00E-75
WBGene00001795,gtl-1,Intestine,1510.61,Ciliated_sensory_neurons,57.31,25.91,2.65E-77,5.78E-75
WBGene00019713,pqn-52,Canal_associated_neurons,7526.17,Coelomocytes,531.77,14.13,9.32E-76,2.01E-73
WBGene00011289,R102.2,Ciliated_sensory_neurons,4589.66,Pharyngeal_neurons,25.80,171.26,1.14E-75,2.44E-73
WBGene00017621,F20A1.10,Am/PH_sheath_cells,6850.54,Socket_cells,279.21,24.45,1.53E-74,3.23E-72
WBGene00011832,bgal-1,Intestinal/rectal_muscle,1990.48,Body_wall_muscle,216.24,9.16,2.04E-74,4.25E-72
WBGene00017948,mth-1,Intestine,886.18,Coelomocytes,20.95,40.38,1.39E-73,2.88E-71
WBGene00013541,Y75B8A.4,Intestine,848.44,Non-seam_hypodermis,10.33,74.89,1.70E-73,3.48E-71
WBGene00018877,aman-1,Coelomocytes,7193.60,GABAergic_neurons,513.02,13.99,7.71E-73,1.56E-70
WBGene00015710,C12D5.9,Am/PH_sheath_cells,1227.34,Pharyngeal_epithelia,2.33,368.78,5.21E-72,1.05E-69
WBGene00003995,pgp-1,Intestine,2257.89,Socket_cells,8.84,229.47,3.18E-71,6.33E-69
WBGene00019064,myo-5,Pharyngeal_muscle,4258.68,Touch_receptor_neurons,44.31,93.99,5.19E-70,1.02E-67
WBGene00011870,T20G5.8,Pharyngeal_gland,3202.79,GABAergic_neurons,22.32,137.33,1.64E-69,3.19E-67
WBGene00020156,T02B11.4,Am/PH_sheath_cells,3620.24,Socket_cells,71.14,50.18,2.82E-69,5.45E-67
WBGene00013440,Y66D12A.14,Canal_associated_neurons,3084.99,Ciliated_sensory_neurons,10.33,272.35,3.37E-69,6.44E-67
WBGene00019772,M04G7.1,Pharyngeal_gland,3662.81,Pharyngeal_muscle,7.27,442.89,7.50E-69,1.42E-66
WBGene00016362,C33G8.4,Am/PH_sheath_cells,3300.89,Socket_cells,55.83,58.09,1.17E-68,2.20E-66
WBGene00000720,col-147,Non-seam_hypodermis,696.05,Seam_cells,88.67,7.76,1.29E-68,2.39E-66
WBGene00000747,col-174,Socket_cells,2206.61,Pharyngeal_epithelia,29.26,72.93,5.99E-68,1.10E-65
WBGene00020158,T02C5.1,Intestine,1199.05,Coelomocytes,82.73,14.32,2.15E-67,3.92E-65
WBGene00019957,R08E3.1,Intestine,1929.83,GABAergic_neurons,15.06,120.16,2.38E-67,4.30E-65
WBGene00003168,mec-4,Touch_receptor_neurons,2263.60,Ciliated_sensory_neurons,16.27,131.08,3.59E-67,6.45E-65
WBGene00011959,nyn-1,Germline,86.79,Body_wall_muscle,0.62,53.44,9.39E-67,1.67E-64
WBGene00003550,nas-32,Am/PH_sheath_cells,1928.40,Non-seam_hypodermis,131.78,14.52,1.07E-66,1.88E-64
WBGene00021048,W05H9.1,Intestine,2468.23,Touch_receptor_neurons,24.69,96.08,1.18E-66,2.06E-64
WBGene00016324,C32E8.6,Canal_associated_neurons,5279.69,Other_interneurons,48.53,106.60,4.58E-66,7.94E-64
WBGene00017322,clec-160,Intestine,653.72,Non-seam_hypodermis,2.80,172.20,6.39E-66,1.10E-63
WBGene00000218,asp-5,Intestine,741.92,Non-seam_hypodermis,6.22,102.82,1.68E-65,2.87E-63
WBGene00000465,cpg-1,Germline,539.06,Cholinergic_neurons,14.40,35.00,1.90E-65,3.21E-63
WBGene00000741,col-168,Non-seam_hypodermis,3075.37,Seam_cells,969.35,3.17,4.58E-65,7.67E-63
WBGene00001695,grd-6,Non-seam_hypodermis,926.67,Seam_cells,180.03,5.12,5.04E-65,8.38E-63
WBGene00011683,phat-6,Pharyngeal_gland,4095.06,Pharyngeal_neurons,30.60,129.59,1.88E-64,3.09E-62
WBGene00015061,cpna-2,Body_wall_muscle,14448.95,Intestinal/rectal_muscle,1480.47,9.75,7.20E-64,1.18E-61
WBGene00010150,F56D5.6,Intestine,1111.92,Coelomocytes,69.08,15.87,9.57E-64,1.55E-61
WBGene00010135,F55H12.4,Excretory_cells,11254.20,Non-seam_hypodermis,1239.74,9.07,1.34E-63,2.16E-61
WBGene00012530,Y32F6A.5,Intestine,856.41,Body_wall_muscle,107.39,7.90,1.38E-63,2.21E-61
WBGene00001690,grd-1,Rectum,1946.20,Seam_cells,5.13,317.30,1.62E-63,2.57E-61
WBGene00021894,Y54G2A.32,Am/PH_sheath_cells,2630.72,Socket_cells,35.47,72.13,3.98E-63,6.26E-61
WBGene00012457,acbp-6,Canal_associated_neurons,4936.70,Pharyngeal_neurons,10.94,413.32,1.63E-62,2.54E-60
WBGene00006845,unc-122,Coelomocytes,2779.96,Pharyngeal_muscle,23.31,114.35,1.86E-62,2.86E-60
WBGene00011072,tag-209,Am/PH_sheath_cells,3487.58,Socket_cells,107.19,32.23,1.86E-62,2.86E-60
WBGene00044301,lgc-28,Coelomocytes,939.54,Ciliated_sensory_neurons,4.21,180.28,4.83E-62,7.36E-60
WBGene00007422,ugt-17,Intestine,648.03,Coelomocytes,6.24,89.50,6.74E-62,1.02E-59
WBGene00020589,T19H12.3,Am/PH_sheath_cells,2197.73,Socket_cells,13.59,150.67,3.99E-61,5.99E-59
WBGene00019092,F59A7.5,Am/PH_sheath_cells,2198.87,GABAergic_neurons,31.45,67.77,8.48E-61,1.26E-58
WBGene00016380,ntp-1,Seam_cells,490.68,Germline,171.88,2.84,2.18E-60,3.23E-58
WBGene00020788,nep-22,Intestine,1224.72,Vulval_precursors,2.18,384.91,2.63E-60,3.86E-58
WBGene00017858,F27C1.11,Ciliated_sensory_neurons,2266.68,Intestine,58.53,38.08,4.52E-60,6.59E-58
WBGene00009562,flp-22,Pharyngeal_neurons,4844.83,Cholinergic_neurons,372.19,12.98,5.17E-60,7.49E-58
WBGene00017012,acs-22,Intestine,1738.05,Pharyngeal_epithelia,135.74,12.71,6.03E-60,8.67E-58
WBGene00016731,C46H11.7,Pharyngeal_gland,2415.47,Socket_cells,21.47,107.50,1.35E-59,1.93E-57
WBGene00000214,asp-1,Intestine,5161.16,flp-1(+)_interneurons,108.01,47.35,2.26E-59,3.20E-57
WBGene00000789,cpz-2,Intestine,2129.28,Touch_receptor_neurons,29.35,70.15,3.97E-59,5.59E-57
WBGene00010773,K11E4.1,Am/PH_sheath_cells,900.88,Ciliated_sensory_neurons,2.26,276.52,4.93E-59,6.89E-57
WBGene00003740,nlp-2,Ciliated_sensory_neurons,409.48,Body_wall_muscle,0.30,314.02,2.03E-58,2.81E-56
WBGene00022413,Y102A11A.3,Intestine,816.43,Ciliated_sensory_neurons,8.76,83.62,2.13E-58,2.93E-56
WBGene00009916,F52A8.3,Pharyngeal_epithelia,1037.42,Cholinergic_neurons,17.93,54.80,3.25E-58,4.46E-56
WBGene00003471,mtd-1,Touch_receptor_neurons,4025.53,Socket_cells,49.79,79.25,5.14E-58,6.99E-56
WBGene00014106,ZK856.5,Coelomocytes,611.29,Non-seam_hypodermis,4.38,113.55,9.57E-58,1.29E-55
WBGene00011739,T12G3.4,Canal_associated_neurons,1165.31,Germline,81.26,14.17,1.60E-57,2.15E-55
WBGene00007869,C32H11.6,Pharyngeal_gland,637.59,Germline,0.00,637.59,5.92E-57,7.90E-55
WBGene00020599,T20B6.3,Pharyngeal_muscle,1274.19,Pharyngeal_epithelia,30.42,40.55,6.62E-57,8.77E-55
WBGene00001537,gcy-11,Ciliated_sensory_neurons,3522.50,Pharyngeal_neurons,43.63,78.93,1.33E-56,1.74E-54
WBGene00000673,col-98,Seam_cells,1789.74,Non-seam_hypodermis,441.18,4.05,1.32E-56,1.74E-54
WBGene00022285,Y75B7AL.2,Coelomocytes,4021.68,Pharyngeal_neurons,150.72,26.51,2.21E-56,2.88E-54
WBGene00011244,R11D1.3,Am/PH_sheath_cells,746.36,Non-seam_hypodermis,2.29,226.81,1.05E-55,1.35E-53
WBGene00000395,cdh-3,Socket_cells,2826.44,Seam_cells,445.39,6.33,1.11E-55,1.43E-53
WBGene00206522,F14D2.19,Intestine,321.09,Germline,1.32,138.19,1.15E-55,1.46E-53
WBGene00000667,col-92,Non-seam_hypodermis,327.56,Seam_cells,8.96,32.89,1.75E-55,2.22E-53
WBGene00009183,F27C8.2,Canal_associated_neurons,1647.88,Coelomocytes,2.49,472.47,2.18E-55,2.75E-53
WBGene00017968,skpo-3,Seam_cells,1022.35,Non-seam_hypodermis,210.91,4.82,2.88E-55,3.60E-53
WBGene00004114,pqn-25,Pharyngeal_gland,2425.06,Pharyngeal_muscle,8.49,255.43,3.00E-55,3.73E-53
WBGene00021981,lgc-26,Coelomocytes,3823.88,Canal_associated_neurons,39.50,94.42,3.81E-55,4.71E-53
WBGene00012382,ttr-16,Body_wall_muscle,2083.50,Ciliated_sensory_neurons,366.68,5.67,6.31E-55,7.75E-53
WBGene00016898,C53C9.2,Pharyngeal_muscle,3058.64,Touch_receptor_neurons,76.89,39.27,9.76E-55,1.19E-52
WBGene00019901,R05G6.9,Pharyngeal_gland,2386.06,Socket_cells,15.82,141.85,1.03E-54,1.25E-52
WBGene00021866,Y54F10BM.12,Coelomocytes,323.13,Germline,13.95,21.61,1.24E-54,1.50E-52
WBGene00001248,elp-1,Touch_receptor_neurons,843.75,Body_wall_muscle,54.77,15.13,1.35E-54,1.62E-52
WBGene00001460,flp-17,Oxygen_sensory_neurons,11309.19,Excretory_cells,76.46,146.00,2.47E-54,2.95E-52
WBGene00010723,cpg-7,Seam_cells,2034.85,Non-seam_hypodermis,571.62,3.55,4.79E-54,5.67E-52
WBGene00010850,M04C3.1,Intestine,1952.67,Sex_myoblasts,4.89,331.62,5.20E-54,6.13E-52
WBGene00021875,Y54G2A.10,Am/PH_sheath_cells,2069.07,Socket_cells,28.51,70.12,7.50E-54,8.78E-52
WBGene00004058,pmp-1,Intestine,619.80,Non-seam_hypodermis,12.19,46.98,1.65E-53,1.92E-51
WBGene00001702,grd-13,Seam_cells,1046.17,Other_interneurons,21.75,45.98,1.69E-53,1.96E-51
WBGene00007304,ttr-39,GABAergic_neurons,2895.13,Other_interneurons,13.93,193.86,1.82E-53,2.10E-51
WBGene00012253,clec-50,Intestine,555.13,Coelomocytes,6.30,76.00,2.30E-53,2.63E-51
WBGene00013459,Y67A10A.10,Am/PH_sheath_cells,1938.30,Socket_cells,18.91,97.36,2.33E-53,2.65E-51
WBGene00022644,dod-19,Intestine,1703.60,Pharyngeal_neurons,12.39,127.21,5.75E-53,6.52E-51
WBGene00044686,flp-28,Pharyngeal_neurons,7102.34,Sex_myoblasts,319.15,22.18,7.02E-53,7.90E-51
WBGene00000067,act-5,Intestine,1210.85,Ciliated_sensory_neurons,86.57,13.83,3.12E-52,3.50E-50
WBGene00001188,egl-20,Intestinal/rectal_muscle,2708.33,Oxygen_sensory_neurons,49.68,53.44,5.44E-52,6.06E-50
WBGene00023502,clec-184,Am/PH_sheath_cells,781.53,Cholinergic_neurons,7.71,89.70,1.24E-51,1.38E-49
WBGene00022093,Y69A2AR.22,Am/PH_sheath_cells,6928.80,Excretory_cells,64.11,106.42,1.39E-51,1.53E-49
WBGene00000872,cyk-1,Canal_associated_neurons,2458.20,Germline,388.79,6.31,1.59E-51,1.74E-49
WBGene00008741,F13D12.6,Intestine,1676.45,Socket_cells,32.78,49.63,2.42E-51,2.63E-49
WBGene00002054,ifb-2,Intestine,535.72,Coelomocytes,6.52,71.26,4.43E-51,4.80E-49
WBGene00001463,flp-20,Touch_receptor_neurons,2089.71,Cholinergic_neurons,35.71,56.92,7.89E-51,8.51E-49
WBGene00017755,zip-8,Coelomocytes,927.34,Ciliated_sensory_neurons,14.37,60.32,1.85E-50,1.98E-48
WBGene00016782,phat-3,Pharyngeal_gland,2489.39,Pharyngeal_muscle,25.66,93.37,2.39E-50,2.55E-48
WBGene00001456,flp-13,Pharyngeal_neurons,6810.64,GABAergic_neurons,424.67,16.00,2.46E-50,2.61E-48
WBGene00008167,acox-5,Intestine,743.04,Ciliated_sensory_neurons,14.05,49.37,2.77E-50,2.93E-48
WBGene00010540,K03H1.5,Intestine,1023.55,Coelomocytes,90.23,11.22,4.94E-50,5.19E-48
WBGene00014006,ZK596.1,Pharyngeal_gland,2202.63,Pharyngeal_muscle,15.89,130.40,9.34E-50,9.76E-48
WBGene00013539,Y73F8A.35,Pharyngeal_gland,1698.04,Other_interneurons,6.74,219.43,1.76E-49,1.83E-47
WBGene00004096,pqm-1,Intestine,548.38,Non-seam_hypodermis,4.86,93.65,3.49E-49,3.61E-47
WBGene00011020,R05A10.3,Am/PH_sheath_cells,1946.39,Pharyngeal_neurons,21.74,85.60,3.90E-49,4.01E-47
WBGene00011207,R10E8.1,Intestine,499.63,Non-seam_hypodermis,1.74,182.46,1.00E-48,1.02E-46
WBGene00015356,tag-278,Body_wall_muscle,2475.23,Sex_myoblasts,146.24,16.81,1.54E-48,1.57E-46
WBGene00000681,col-107,Seam_cells,18230.82,Non-seam_hypodermis,7559.70,2.41,9.02E-48,9.14E-46
WBGene00019540,K08D12.6,Non-seam_hypodermis,2989.34,Socket_cells,270.10,11.03,1.96E-47,1.98E-45
WBGene00011128,R07H5.8,Seam_cells,537.08,Germline,213.69,2.50,3.19E-47,3.20E-45
WBGene00017246,F08D12.2,Pharyngeal_gland,3329.18,Pharyngeal_muscle,49.95,65.35,6.17E-47,6.16E-45
WBGene00006893,spon-1,Body_wall_muscle,374.24,Coelomocytes,39.80,9.17,6.57E-47,6.53E-45
WBGene00015711,C12D5.10,Am/PH_sheath_cells,336.18,Body_wall_muscle,0.20,279.45,1.27E-46,1.25E-44
WBGene00003856,odr-10,Ciliated_sensory_neurons,696.97,Non-seam_hypodermis,3.22,165.32,3.21E-46,3.16E-44
WBGene00012437,hum-9,Body_wall_muscle,1415.31,GABAergic_neurons,115.61,12.14,2.47E-45,2.42E-43
WBGene00010760,K10H10.4,Non-seam_hypodermis,234.12,Seam_cells,3.39,53.30,2.91E-45,2.83E-43
WBGene00017292,F09E5.16,flp-1(+)_interneurons,2869.40,Cholinergic_neurons,169.83,16.80,5.91E-45,5.73E-43
WBGene00013030,Y49E10.4,Germline,324.21,Cholinergic_neurons,6.14,45.41,7.02E-45,6.77E-43
WBGene00018100,math-26,Intestine,558.92,Cholinergic_neurons,1.44,229.23,1.29E-44,1.24E-42
WBGene00004154,pqn-72,Non-seam_hypodermis,972.68,Seam_cells,263.62,3.68,3.58E-44,3.42E-42
WBGene00004157,pqn-75,Pharyngeal_gland,1205.35,Pharyngeal_epithelia,17.95,63.60,4.91E-44,4.68E-42
WBGene00022649,ZK84.1,Socket_cells,2551.86,Seam_cells,544.39,4.68,6.49E-44,6.15E-42
WBGene00019647,K11D12.7,Intestinal/rectal_muscle,1056.87,Body_wall_muscle,142.63,7.36,7.27E-44,6.85E-42
WBGene00003166,mec-2,Touch_receptor_neurons,6545.73,Intestinal/rectal_muscle,465.03,14.05,1.89E-43,1.77E-41
WBGene00001099,dsc-4,Intestine,1348.65,Pharyngeal_neurons,17.21,74.04,2.53E-43,2.36E-41
WBGene00003877,pept-1,Intestine,587.55,Pharyngeal_epithelia,6.44,79.01,5.74E-43,5.34E-41
WBGene00012911,acl-7,Intestine,341.11,Body_wall_muscle,8.82,34.72,3.16E-42,2.93E-40
WBGene00015202,B0478.3,Am/PH_sheath_cells,496.92,Non-seam_hypodermis,0.90,261.67,4.59E-42,4.23E-40
WBGene00010513,K02E11.4,Am/PH_sheath_cells,1209.73,Other_interneurons,23.03,50.33,6.26E-42,5.74E-40
WBGene00022335,Y82E9BR.2,Germline,265.85,Coelomocytes,7.19,32.45,1.22E-41,1.11E-39
WBGene00004739,scd-1,flp-1(+)_interneurons,6680.35,Ciliated_sensory_neurons,847.77,7.87,1.75E-41,1.59E-39
WBGene00013534,acr-24,Other_interneurons,1342.88,Cholinergic_neurons,75.32,17.60,2.03E-41,1.84E-39
WBGene00004300,ram-2,Seam_cells,21828.31,Non-seam_hypodermis,9738.43,2.24,2.10E-41,1.89E-39
WBGene00004118,pqn-29,Pharyngeal_muscle,1039.00,Pharyngeal_epithelia,52.55,19.40,2.28E-41,2.05E-39
WBGene00007203,best-1,Pharyngeal_epithelia,583.90,Non-seam_hypodermis,8.92,58.87,2.61E-41,2.33E-39
WBGene00002113,ins-30,Ciliated_sensory_neurons,1354.94,Other_interneurons,10.17,121.32,2.70E-41,2.40E-39
WBGene00010134,F55H12.3,Intestine,916.49,Other_interneurons,11.01,76.31,1.27E-40,1.12E-38
WBGene00001651,gon-2,Pharyngeal_epithelia,4663.96,Intestine,859.99,5.42,1.63E-40,1.44E-38
