Table S12: Differential expression test results for the ASEL vs. ASER neuron. ,,,,,,,,,,,,
gene_id,symbol,q-value,ASEL TPM,ASER TPM,"moderated log2
(ASEL / ASER)",,,,,,,
WBGene00004357,rho-1,0.290734619944479,424.583,1427.476,-1.746,,,,,,,
WBGene00000553,cmk-1,0.293358348632749,274.424,1194.402,-2.117,,,,,,,
WBGene00006772,unc-36,0.293358348632749,1005.269,158.623,2.655,,,,,,,
WBGene00010627,K07C5.4,0.293358348632749,2149.162,647.356,1.729,,,,,,,
WBGene00003620,nhr-21,0.309382288562657,2550.600,817.460,1.640,,,,,,,
WBGene00004740,scd-2,0.309382288562657,1411.387,254.474,2.466,,,,,,,
WBGene00010236,F58B4.3,0.309382288562657,2354.402,727.790,1.692,,,,,,,
WBGene00002262,ldh-1,0.325450163575633,188.331,834.057,-2.139,,,,,,,
WBGene00002192,kin-4,0.33147920417225,1540.400,409.405,1.908,,,,,,,
WBGene00007883,C33A12.4,0.33147920417225,2023.065,578.697,1.803,,,,,,,
WBGene00002109,ins-26,0.332602597938858,969.832,2449.402,-1.335,,,,,,,
WBGene00009498,tat-5,0.332602597938858,289.380,949.888,-1.710,,,,,,,
WBGene00016415,ampd-1,0.336644779540883,2626.557,836.857,1.648,,,,,,,
WBGene00018837,F54G2.1,0.336644779540883,242.793,895.553,-1.877,,,,,,,
WBGene00000920,daf-28,0.356823905016467,117.509,585.986,-2.306,,,,,,,
WBGene00002173,itr-1,0.356823905016467,1314.022,2954.679,-1.168,,,,,,,
WBGene00004055,pmk-1,0.356823905016467,206.281,998.624,-2.268,,,,,,,
WBGene00195143,C16D2.2,0.356823905016467,516.198,1572.933,-1.605,,,,,,,
WBGene00001648,goa-1,0.368109407884119,194.439,723.337,-1.888,,,,,,,
WBGene00006439,ant-1.1,0.368109407884119,1651.556,550.964,1.581,,,,,,,
WBGene00006959,xbp-1,0.368109407884119,523.955,1504.166,-1.519,,,,,,,
WBGene00011060,R06C1.6,0.368109407884119,772.446,1967.097,-1.347,,,,,,,
WBGene00017858,F27C1.11,0.368109407884119,8410.454,4285.693,0.972,,,,,,,
WBGene00021281,ell-1,0.368109407884119,191.326,750.651,-1.965,,,,,,,
WBGene00021350,Y37E3.8,0.368109407884119,266.667,957.495,-1.839,,,,,,,
WBGene00007487,C09G1.5,0.37489197016961,3822.994,7376.946,-0.948,,,,,,,
WBGene00001008,dlk-1,0.375787604043374,2366.154,877.919,1.429,,,,,,,
WBGene00004474,rps-5,0.386155324617218,1864.485,642.925,1.534,,,,,,,
WBGene00016405,hecd-1,0.389133366633886,772.257,1843.195,-1.253,,,,,,,
WBGene00003048,lit-1,0.390146035771467,852.398,2027.911,-1.249,,,,,,,
WBGene00000915,daf-21,0.400824018480725,6243.460,3296.264,0.921,,,,,,,
WBGene00004128,pqn-41,0.400824018480725,948.050,189.587,2.315,,,,,,,
WBGene00012019,dkf-2,0.400824018480725,1551.562,3433.944,-1.145,,,,,,,
WBGene00003401,mpk-1,0.40785341386429,1156.811,345.127,1.741,,,,,,,
WBGene00006779,unc-43,0.410962017176597,3198.990,6122.467,-0.936,,,,,,,
WBGene00021152,mgl-3,0.417669655312116,1531.216,535.098,1.514,,,,,,,
WBGene00002026,hsp-70,0.425337094871427,1147.965,2317.806,-1.012,,,,,,,
WBGene00020114,pde-4,0.43240721863839,377.145,1085.992,-1.522,,,,,,,
WBGene00009375,F34D10.6,0.439913496853323,5050.661,8823.154,-0.805,,,,,,,
WBGene00015813,thoc-2,0.439913496853323,561.870,1544.307,-1.456,,,,,,,
WBGene00018869,rfip-1,0.44091535995066,2318.201,4535.152,-0.968,,,,,,,
WBGene00004470,rps-1,0.452791338166409,1847.250,760.190,1.279,,,,,,,
WBGene00017675,F21F3.6,0.452791338166409,2807.507,5214.121,-0.893,,,,,,,
WBGene00003568,ncx-3,0.454564570436987,263.485,931.573,-1.816,,,,,,,
WBGene00003559,ncl-1,0.471981354862261,1658.895,662.561,1.322,,,,,,,
WBGene00000472,cey-1,0.473259065604966,2190.377,925.960,1.241,,,,,,,
WBGene00004431,rpl-19,0.473259065604966,1075.805,2244.347,-1.060,,,,,,,
WBGene00013187,npr-34,0.473259065604966,3434.588,1609.314,1.093,,,,,,,
WBGene00000912,daf-16,0.474529316520421,3031.852,1493.948,1.020,,,,,,,
WBGene00000962,dhc-1,0.474529316520421,472.658,1219.608,-1.365,,,,,,,
WBGene00003690,nhr-100,0.474529316520421,383.861,988.133,-1.360,,,,,,,
WBGene00004373,rme-1,0.474529316520421,486.973,1310.716,-1.425,,,,,,,
WBGene00006923,vhp-1,0.482767609876158,1241.170,367.825,1.751,,,,,,,
WBGene00019185,H10E21.5,0.482767609876158,700.096,208.380,1.741,,,,,,,
WBGene00004778,ser-3,0.487256437516422,1793.253,751.096,1.254,,,,,,,
WBGene00003808,npr-2,0.48999401291466,1221.277,456.847,1.415,,,,,,,
WBGene00004430,rpl-18,0.48999401291466,2412.321,1159.880,1.055,,,,,,,
WBGene00016250,hsp-110,0.48999401291466,1344.469,2503.263,-0.896,,,,,,,
WBGene00021936,Y55F3BL.2,0.48999401291466,1961.940,782.960,1.323,,,,,,,
WBGene00022358,Y92H12A.2,0.48999401291466,454.545,1143.415,-1.328,,,,,,,
WBGene00006794,unc-60,0.490520666323594,323.405,947.433,-1.546,,,,,,,
WBGene00000829,ctb-1,0.493583750929734,4519.228,2524.501,0.840,,,,,,,
WBGene00003752,nlp-14,0.493583750929734,819.723,283.127,1.529,,,,,,,
WBGene00012289,W05H12.1,0.493583750929734,1317.085,2670.986,-1.019,,,,,,,
WBGene00022635,ZC581.9,0.493583750929734,192.999,738.185,-1.928,,,,,,,
WBGene00000149,apl-1,0.493868627538873,8594.251,5142.882,0.741,,,,,,,
WBGene00001137,eat-6,0.497915683295223,420.816,1013.176,-1.264,,,,,,,
WBGene00018846,eef-1B.1,0.497915683295223,1200.027,485.810,1.302,,,,,,,
WBGene00002176,jip-1,0.504935158794195,1053.150,399.315,1.396,,,,,,,
WBGene00000482,chd-3,0.520481910222329,1361.032,521.399,1.381,,,,,,,
WBGene00002163,ist-1,0.520481910222329,8702.424,5372.851,0.695,,,,,,,
WBGene00002179,jph-1,0.520481910222329,343.802,859.105,-1.317,,,,,,,
WBGene00004131,pqn-44,0.520481910222329,800.458,1550.259,-0.952,,,,,,,
WBGene00004208,ptc-1,0.520481910222329,715.514,1540.638,-1.104,,,,,,,
WBGene00004414,rpl-3,0.520481910222329,1714.131,2880.548,-0.748,,,,,,,
WBGene00007227,C01G6.5,0.520481910222329,1494.328,2749.665,-0.879,,,,,,,
WBGene00010957,nduo-6,0.520481910222329,1151.039,435.960,1.397,,,,,,,
WBGene00011146,pde-2,0.520481910222329,2114.774,1037.004,1.027,,,,,,,
WBGene00011223,R10H10.4,0.520481910222329,1847.700,865.037,1.093,,,,,,,
WBGene00016977,akap-1,0.520481910222329,3597.444,5763.055,-0.679,,,,,,,
WBGene00019408,K05F1.6,0.520481910222329,1675.854,774.140,1.112,,,,,,,
WBGene00019871,R04E5.8,0.520481910222329,514.237,1020.409,-0.986,,,,,,,
WBGene00044077,tag-232,0.520481910222329,1051.730,427.567,1.295,,,,,,,
WBGene00004897,snb-1,0.524991691219535,940.790,385.370,1.284,,,,,,,
WBGene00004477,rps-8,0.530428647406472,2202.946,1093.458,1.009,,,,,,,
WBGene00004476,rps-7,0.537073577544725,764.297,1637.909,-1.098,,,,,,,
WBGene00020251,camt-1,0.542299371512956,4978.770,3018.882,0.721,,,,,,,
WBGene00001748,gsp-2,0.54675149143437,811.231,278.152,1.539,,,,,,,
WBGene00022667,ZK154.5,0.560484454399356,1084.844,1981.582,-0.868,,,,,,,
WBGene00004036,plc-1,0.583317565006253,5495.141,3272.936,0.747,,,,,,,
WBGene00004427,rpl-15,0.583317565006253,1958.713,917.430,1.093,,,,,,,
WBGene00004485,rps-16,0.583317565006253,1073.135,426.747,1.327,,,,,,,
WBGene00016454,C35E7.2,0.583317565006253,798.601,228.929,1.796,,,,,,,
WBGene00012194,toe-4,0.602084525920056,749.503,336.513,1.151,,,,,,,
WBGene00021597,spsb-1,0.602084525920056,831.834,398.043,1.060,,,,,,,
WBGene00002048,ida-1,0.602211330831799,6902.374,10469.226,-0.601,,,,,,,
WBGene00008999,myrf-2,0.615007185312632,1571.814,790.117,0.990,,,,,,,
WBGene00011423,ipla-7,0.615007185312632,872.312,1529.680,-0.809,,,,,,,
WBGene00002999,lin-10,0.627879385084908,358.167,656.922,-0.871,,,,,,,
WBGene00001187,egl-19,0.630904203398795,1025.554,484.164,1.080,,,,,,,
WBGene00003903,pab-2,0.630904203398795,1544.894,768.944,1.005,,,,,,,
WBGene00004483,rps-14,0.630904203398795,1985.102,1109.952,0.837,,,,,,,
WBGene00013859,ZC247.1,0.630904203398795,649.274,1155.858,-0.830,,,,,,,
WBGene00016194,C28H8.3,0.630904203398795,712.943,283.810,1.324,,,,,,,
WBGene00004494,rps-25,0.634451868822493,1393.739,780.955,0.834,,,,,,,
WBGene00003413,mrp-7,0.635450106177364,1103.091,475.649,1.211,,,,,,,
WBGene00010963,nduo-4,0.64359427694042,3250.217,1922.284,0.757,,,,,,,
WBGene00004184,T19D2.2,0.65106513751028,1437.297,701.012,1.034,,,,,,,
WBGene00011392,sbt-1,0.65106513751028,1466.664,2272.467,-0.631,,,,,,,
WBGene00004471,rps-2,0.651892813282494,823.518,1510.971,-0.874,,,,,,,
WBGene00001994,hpk-1,0.661606672698045,2511.460,3789.826,-0.593,,,,,,,
WBGene00004316,rbf-1,0.661656146425634,4003.815,2526.602,0.664,,,,,,,
WBGene00010964,ctc-1,0.661656146425634,7202.492,4838.224,0.574,,,,,,,
WBGene00016650,ubr-4,0.661656146425634,1014.220,539.915,0.907,,,,,,,
WBGene00018037,chtl-1,0.661656146425634,2006.737,1124.983,0.834,,,,,,,
WBGene00003166,mec-2,0.662545614270126,844.286,287.507,1.549,,,,,,,
WBGene00004446,rpl-32,0.662545614270126,1132.065,1959.742,-0.790,,,,,,,
WBGene00007176,kcnl-1,0.662545614270126,1731.405,1068.097,0.696,,,,,,,
WBGene00019188,H11E01.3,0.662545614270126,1248.840,1933.024,-0.629,,,,,,,
WBGene00011289,R102.2,0.669664972710645,1670.505,795.911,1.068,,,,,,,
WBGene00010730,ensa-1,0.680178974951623,1456.656,803.143,0.857,,,,,,,
WBGene00001173,egl-4,0.680295221914652,520.405,922.016,-0.822,,,,,,,
WBGene00004719,sad-1,0.680295221914652,1135.822,618.707,0.874,,,,,,,
WBGene00000277,cab-1,0.680848620243224,7695.014,5356.551,0.522,,,,,,,
WBGene00010262,droe-4,0.680848620243224,1990.093,1183.420,0.749,,,,,,,
WBGene00002265,lec-2,0.687775927979608,959.726,1577.878,-0.716,,,,,,,
WBGene00045419,lsy-12,0.693260107065812,488.552,950.320,-0.957,,,,,,,
WBGene00017766,peli-1,0.700223036164426,1658.802,1058.189,0.647,,,,,,,
WBGene00000102,akt-1,0.700811266073186,3081.907,2031.916,0.600,,,,,,,
WBGene00010959,nduo-1,0.702253809571714,817.113,428.681,0.927,,,,,,,
WBGene00003150,mbk-2,0.702815651890495,2043.238,1301.250,0.650,,,,,,,
WBGene00001630,gly-5,0.704207395492673,337.302,665.585,-0.976,,,,,,,
WBGene00006803,unc-70,0.704207395492673,219.472,420.718,-0.932,,,,,,,
WBGene00001449,flp-6,0.723266404357363,15376.155,11614.561,0.405,,,,,,,
WBGene00002178,jnk-1,0.723266404357363,439.335,677.623,-0.622,,,,,,,
WBGene00003519,nac-3,0.723266404357363,1910.882,1116.348,0.774,,,,,,,
WBGene00003630,nhr-40,0.723266404357363,1154.114,666.050,0.791,,,,,,,
WBGene00003741,nlp-3,0.723266404357363,2415.594,1680.917,0.522,,,,,,,
WBGene00003776,nmy-1,0.723266404357363,507.711,915.765,-0.848,,,,,,,
WBGene00004472,rps-3,0.723266404357363,738.063,1255.285,-0.764,,,,,,,
WBGene00012348,pptr-1,0.723266404357363,844.121,412.494,1.030,,,,,,,
WBGene00018468,tag-80,0.723266404357363,5374.778,7268.259,-0.435,,,,,,,
WBGene00004434,rpl-22,0.723366244255278,570.094,234.056,1.278,,,,,,,
WBGene00012005,jun-1,0.723366244255278,877.954,1358.634,-0.628,,,,,,,
WBGene00004499,rps-30,0.728785843943696,778.670,376.129,1.046,,,,,,,
WBGene00003476,mtm-3,0.728889961426896,1058.456,1554.565,-0.553,,,,,,,
WBGene00004429,rpl-17,0.732950075471467,888.771,451.375,0.974,,,,,,,
WBGene00004751,sea-2,0.743174329633853,1014.981,1543.580,-0.603,,,,,,,
WBGene00000140,anc-1,0.745791156598375,1199.828,674.918,0.828,,,,,,,
WBGene00006529,tba-2,0.745791156598375,613.290,884.183,-0.525,,,,,,,
WBGene00001439,fkh-7,0.748978784223549,1663.782,1089.296,0.610,,,,,,,
WBGene00004921,snt-1,0.748978784223549,1146.323,1690.850,-0.559,,,,,,,
WBGene00022500,lfi-1,0.748978784223549,1448.524,2060.845,-0.508,,,,,,,
WBGene00004215,ptp-3,0.765913201037398,535.487,297.652,0.842,,,,,,,
WBGene00013850,ZC84.7,0.765913201037398,457.266,727.218,-0.666,,,,,,,
WBGene00001196,egl-30,0.768468342151798,1393.546,885.698,0.652,,,,,,,
WBGene00010961,nduo-2,0.769584758164589,309.359,530.013,-0.772,,,,,,,
WBGene00001189,egl-21,0.771218847584836,6480.581,8291.884,-0.355,,,,,,,
WBGene00004456,rpl-43,0.771218847584836,516.153,872.580,-0.755,,,,,,,
WBGene00003072,lrp-2,0.779549231296222,586.605,850.676,-0.534,,,,,,,
WBGene00008454,E02A10.4,0.779549231296222,3674.880,2723.258,0.432,,,,,,,
WBGene00010012,saeg-1,0.779549231296222,1676.264,2124.782,-0.341,,,,,,,
WBGene00010965,ctc-2,0.779549231296222,3846.881,2891.558,0.411,,,,,,,
WBGene00020131,gcy-28,0.779549231296222,965.117,649.750,0.569,,,,,,,
WBGene00022144,pghm-1,0.779549231296222,5627.186,4120.689,0.449,,,,,,,
WBGene00004421,rpl-10,0.78323248248493,1320.954,1784.179,-0.433,,,,,,,
WBGene00002980,lgg-1,0.78574479747979,960.787,1417.248,-0.559,,,,,,,
WBGene00001565,gei-8,0.787462603532412,688.943,457.206,0.588,,,,,,,
WBGene00012117,T28B11.1,0.787462603532412,1011.611,1518.976,-0.585,,,,,,,
WBGene00022410,Y97E10C.1,0.793367372348215,515.114,792.516,-0.619,,,,,,,
WBGene00008549,din-1,0.794935002133126,1327.664,861.323,0.623,,,,,,,
WBGene00010967,nduo-5,0.813799484789972,1639.241,1068.737,0.616,,,,,,,
WBGene00003902,pab-1,0.828657001701339,807.110,1218.007,-0.592,,,,,,,
WBGene00017671,pgal-1,0.828657001701339,3919.144,2992.511,0.389,,,,,,,
WBGene00006513,rimb-1,0.829616029912706,918.173,550.873,0.734,,,,,,,
WBGene00009920,abts-1,0.829616029912706,1315.538,900.386,0.545,,,,,,,
WBGene00006941,wnk-1,0.837256794209688,684.419,476.221,0.520,,,,,,,
WBGene00000898,daf-2,0.842875578648909,4516.038,3588.886,0.331,,,,,,,
WBGene00022664,ZK121.2,0.842875578648909,1095.391,716.122,0.611,,,,,,,
WBGene00000064,act-2,0.846948630599493,509.372,812.960,-0.672,,,,,,,
WBGene00006342,sup-37,0.846948630599493,2854.271,2176.482,0.390,,,,,,,
WBGene00019466,tos-1,0.846948630599493,10560.034,12531.624,-0.247,,,,,,,
WBGene00021078,unc-132,0.846948630599493,310.232,382.887,-0.299,,,,,,,
WBGene00022745,ZK470.2,0.846948630599493,2101.464,1537.461,0.450,,,,,,,
WBGene00007053,chd-7,0.85250615205395,2254.371,1802.551,0.322,,,,,,,
WBGene00000802,crt-1,0.85887896030557,616.596,885.474,-0.520,,,,,,,
WBGene00001168,eef-1A.1,0.85887896030557,8531.792,7310.966,0.223,,,,,,,
WBGene00001172,egl-3,0.85887896030557,6728.606,7791.119,-0.211,,,,,,,
WBGene00001679,gpb-1,0.85887896030557,472.399,603.319,-0.350,,,,,,,
WBGene00003561,ncr-1,0.85887896030557,486.957,680.425,-0.480,,,,,,,
WBGene00003728,nhr-138,0.85887896030557,661.245,482.939,0.450,,,,,,,
WBGene00004469,rps-0,0.85887896030557,2780.224,2216.770,0.326,,,,,,,
WBGene00006527,tax-6,0.85887896030557,1155.458,1417.389,-0.294,,,,,,,
WBGene00010877,lact-4,0.85887896030557,1736.185,1386.801,0.323,,,,,,,
WBGene00010960,atp-6,0.85887896030557,1778.444,1347.525,0.399,,,,,,,
WBGene00015551,C06G3.5,0.85887896030557,1232.900,858.854,0.520,,,,,,,
WBGene00022069,eel-1,0.85887896030557,753.458,539.114,0.480,,,,,,,
WBGene00000545,clp-4,0.866466649474446,1673.548,2129.939,-0.347,,,,,,,
WBGene00019831,R02F2.1,0.866991636626629,3867.935,3107.202,0.315,,,,,,,
WBGene00003822,nsy-1,0.872523367923714,607.596,382.415,0.664,,,,,,,
WBGene00015303,rga-6,0.872523367923714,1412.599,1673.230,-0.243,,,,,,,
WBGene00001488,frm-1,0.873372360326464,590.705,819.593,-0.470,,,,,,,
WBGene00001502,ftt-2,0.873372360326464,3922.963,4518.107,-0.203,,,,,,,
WBGene00001851,hif-1,0.873372360326464,475.773,662.198,-0.474,,,,,,,
WBGene00002005,hsp-1,0.873372360326464,1914.215,1444.477,0.405,,,,,,,
WBGene00004364,ric-4,0.873372360326464,1970.670,2322.332,-0.236,,,,,,,
WBGene00004418,rpl-7,0.873372360326464,2175.974,2560.237,-0.234,,,,,,,
WBGene00004420,rpl-9,0.873372360326464,941.055,1219.651,-0.373,,,,,,,
WBGene00009201,F28C1.3,0.873372360326464,635.155,710.342,-0.159,,,,,,,
WBGene00011474,aldo-1,0.873372360326464,1060.719,829.719,0.353,,,,,,,
WBGene00012100,sipa-1,0.873372360326464,1104.384,846.811,0.381,,,,,,,
WBGene00000485,che-3,0.878393286290564,2436.513,2777.900,-0.189,,,,,,,
WBGene00004417,rpl-6,0.878393286290564,2080.316,1633.427,0.348,,,,,,,
WBGene00001558,gdi-1,0.883655403742201,359.174,457.762,-0.346,,,,,,,
WBGene00004415,rpl-4,0.883655403742201,4095.562,3489.629,0.231,,,,,,,
WBGene00003172,mec-8,0.888304208899967,1055.743,1382.566,-0.388,,,,,,,
WBGene00004452,rpl-38,0.889045188657961,296.983,397.866,-0.417,,,,,,,
WBGene00006807,unc-75,0.889045188657961,836.078,546.848,0.610,,,,,,,
WBGene00012274,W05B5.1,0.891938149481699,505.041,611.945,-0.274,,,,,,,
WBGene00008920,eef-1G,0.891962495035141,1770.445,1473.551,0.264,,,,,,,
WBGene00004436,rpl-24.1,0.895271910472389,1476.971,1713.518,-0.213,,,,,,,
WBGene00020051,R13A5.9,0.895271910472389,429.104,586.593,-0.448,,,,,,,
WBGene00010962,ctc-3,0.899899226949334,1841.205,2069.634,-0.168,,,,,,,
WBGene00002717,let-526,0.901630516636791,585.157,778.814,-0.410,,,,,,,
WBGene00004148,pqn-65,0.901630516636791,579.664,668.474,-0.203,,,,,,,
WBGene00004423,rpl-11.2,0.901630516636791,712.424,723.966,-0.021,,,,,,,
