Table S10: Differential expression test results for posterior vs. other intestine.,,,,,
gene_id,symbol,q-value,posterior TPM,other TPM,"moderated log2
(posterior / other)"
WBGene00001396,fat-4,0.0407124729693051,61.805,205.292,-1.709
WBGene00004440,rpl-26,0.0427684037920906,109.200,327.487,-1.571
WBGene00003408,mrp-2,0.0490621459191331,241.975,42.614,2.472
WBGene00012131,T28F3.5,0.0490621459191331,5.495,202.868,-4.965
WBGene00001765,gst-17,0.0506033637337412,3.749,165.506,-5.123
WBGene00015280,C01B10.6,0.0506033637337412,0.000,164.367,-7.361
WBGene00003941,pbo-1,0.0529706164331878,473.090,143.625,1.710
WBGene00006613,trm-1,0.0529706164331878,124.763,20.880,2.512
WBGene00010793,LLC1.2,0.0529706164331878,259.294,50.499,2.332
WBGene00013594,Y87G2A.2,0.0529706164331878,48.930,168.137,-1.752
WBGene00018145,F37C4.5,0.0529706164331878,320.012,102.014,1.635
WBGene00020662,T21H3.1,0.0529706164331878,216.757,523.105,-1.264
WBGene00007480,glna-1,0.0556768997210354,143.512,12.234,3.439
WBGene00019504,K07H8.2,0.0584883847437212,76.126,18.874,1.938
WBGene00004499,rps-30,0.0603134639528343,173.744,320.409,-0.875
WBGene00003980,pes-7,0.0621525520663281,403.903,144.742,1.471
WBGene00020649,sma-10,0.0630146830514893,64.035,181.907,-1.484
WBGene00002052,ifa-4,0.0677858385070998,69.852,5.397,3.449
WBGene00011800,T16G1.6,0.0681131945445365,47.100,216.740,-2.172
WBGene00016468,C36B7.5,0.0731185068307937,130.416,14.275,3.094
WBGene00017063,mctp-1,0.074466507015414,24.897,243.020,-3.230
WBGene00020954,W02G9.4,0.0748066564338275,5.522,187.865,-4.848
WBGene00003596,ngp-1,0.075472449482322,425.228,231.110,0.873
WBGene00017478,F15A8.6,0.0770605208883765,27.941,160.015,-2.467
WBGene00009429,F35E12.5,0.077621826174182,144.603,17.761,2.946
WBGene00004024,php-3,0.0793918067915805,85.943,0.730,5.634
WBGene00021350,Y37E3.8,0.0809619618759988,147.037,363.374,-1.295
WBGene00004481,rps-12,0.0812923568519232,128.328,348.149,-1.429
WBGene00010150,F56D5.6,0.0823443118976072,1798.971,900.206,0.997
WBGene00017121,cyc-2.1,0.0831046912867035,83.513,274.033,-1.697
WBGene00022178,Y71H2AM.13,0.0840033501261035,207.772,763.114,-1.870
WBGene00004494,rps-25,0.0952660336752849,406.631,942.100,-1.209
WBGene00007672,fbxa-136,0.0974191745882668,0.000,173.731,-7.441
WBGene00020576,T19D12.1,0.111452622091342,487.860,192.699,1.333
WBGene00010204,F57F5.1,0.11316668474697,90.093,380.489,-2.062
WBGene00017429,F13D11.4,0.11316668474697,45.004,251.237,-2.449
WBGene00008731,F13B12.3,0.113666720241378,216.514,32.852,2.677
WBGene00003150,mbk-2,0.116351460070149,779.477,306.939,1.340
WBGene00004033,pkc-2,0.120283457638785,263.327,675.580,-1.354
WBGene00019803,PDB1.1,0.124131094730388,130.226,24.086,2.376
WBGene00009595,F40F12.7,0.128414778963553,97.972,34.784,1.453
WBGene00019205,kcc-2,0.128935963779137,765.180,377.877,1.014
WBGene00013866,cbs-1,0.131859478785004,285.992,72.882,1.953
WBGene00010605,K06G5.1,0.133672638930493,1185.338,575.736,1.039
WBGene00015301,C01F1.6,0.135089687027211,810.579,349.544,1.209
WBGene00009394,clec-63,0.137918995092735,194.808,683.065,-1.803
WBGene00010776,pix-1,0.137918995092735,69.494,44.346,0.616
WBGene00004491,rps-22,0.138060641682641,111.581,285.591,-1.343
WBGene00004477,rps-8,0.140032368585496,442.560,1033.863,-1.221
WBGene00004062,pmp-5,0.144963840391645,40.981,170.308,-2.020
WBGene00013143,Y53C12B.1,0.144963840391645,88.390,22.606,1.905
WBGene00020579,T19D12.4,0.147089912199057,438.680,1014.402,-1.206
WBGene00006789,unc-54,0.149088079948509,407.618,201.439,1.010
WBGene00009773,lipl-2,0.149088079948509,101.056,16.805,2.505
WBGene00019188,H11E01.3,0.159278036020802,78.521,269.851,-1.763
WBGene00004202,pry-1,0.160259171534187,262.749,91.036,1.513
WBGene00000515,ckc-1,0.167206253885429,159.045,16.299,3.201
WBGene00004235,ptr-21,0.167206253885429,108.691,236.834,-1.110
WBGene00013073,hmit-1.1,0.167206253885429,91.090,2.627,4.650
WBGene00017904,lim-8,0.167206253885429,49.318,145.706,-1.534
WBGene00045255,nhr-146,0.167206253885429,48.862,14.182,1.686
WBGene00019587,K09F6.4,0.171055658232475,23.694,115.261,-2.223
WBGene00000188,arl-3,0.173146111119404,193.551,513.231,-1.399
WBGene00015044,cyp-34A9,0.173146111119404,6.311,116.518,-3.994
WBGene00001980,hmr-1,0.174341964086621,911.603,396.756,1.197
WBGene00013689,bath-40,0.174341964086621,53.667,15.661,1.688
WBGene00006652,ttx-1,0.17591267291711,5.522,125.969,-4.272
WBGene00002265,lec-2,0.184243664631708,100.316,6.790,3.687
WBGene00002979,lfe-2,0.184243664631708,564.540,271.616,1.050
WBGene00020471,pho-14,0.184243664631708,114.499,467.454,-2.017
WBGene00018371,ess-2,0.184873418783293,86.800,11.018,2.853
WBGene00044330,alr-1,0.189109852832353,11.044,126.223,-3.390
WBGene00022644,dod-19,0.189809756468344,956.333,2054.105,-1.101
WBGene00020277,T06A1.1,0.190924531482361,116.692,16.026,2.777
WBGene00011130,zip-6,0.191374984379891,50.904,9.968,2.214
WBGene00000959,dgk-2,0.194030938826597,312.730,112.070,1.468
WBGene00004140,ebax-1,0.194030938826597,88.676,129.490,-0.530
WBGene00004446,rpl-32,0.194030938826597,201.608,574.244,-1.503
WBGene00015333,slc-17.3,0.194030938826597,11.017,141.931,-3.562
WBGene00019660,K11H12.4,0.194030938826597,40.896,5.205,2.720
WBGene00007693,C23H4.4,0.203654882091411,66.303,1.649,4.646
WBGene00019075,F59A3.2,0.203654882091411,57.683,7.630,2.741
WBGene00021882,nprt-1,0.203654882091411,64.372,270.414,-2.048
WBGene00006575,tir-1,0.20850965766539,403.005,812.742,-1.008
WBGene00009888,F49E2.5,0.20852688480724,1794.856,927.977,0.950
WBGene00011330,T01D3.6,0.20852688480724,449.155,1098.778,-1.287
WBGene00022610,ZC416.6,0.214274226264517,144.934,508.724,-1.802
WBGene00019720,M01H9.4,0.217226334572913,132.548,44.131,1.554
WBGene00008944,F19B2.5,0.220147106222996,1084.139,2322.712,-1.098
WBGene00004483,rps-14,0.222281479914473,416.766,970.101,-1.215
WBGene00010904,ugt-62,0.222281479914473,240.816,638.309,-1.400
WBGene00004208,ptc-1,0.223545453575223,318.383,746.428,-1.225
WBGene00010113,F55D12.5,0.227001041967457,104.535,215.588,-1.031
WBGene00021930,Y55F3AM.13,0.227724409507569,26.489,111.252,-2.017
WBGene00009347,F32H5.1,0.227927521537593,47.978,230.213,-2.233
WBGene00002188,kgb-2,0.229411667371306,122.400,55.409,1.118
WBGene00012608,Y38F1A.6,0.231095714139698,100.189,269.207,-1.412
WBGene00002173,itr-1,0.235538577436498,2165.772,1097.235,0.980
WBGene00003821,nst-1,0.244815959824056,507.746,234.196,1.110
WBGene00006887,vav-1,0.244815959824056,280.597,119.349,1.221
WBGene00011276,aakg-5,0.244815959824056,137.165,27.804,2.252
WBGene00020725,cnp-3,0.244815959824056,386.704,202.347,0.927
WBGene00020831,T26C12.1,0.244815959824056,121.515,355.341,-1.536
WBGene00004182,prk-1,0.245791577195777,380.665,773.048,-1.018
WBGene00013599,eipr-1,0.247641719263673,133.544,29.566,2.127
WBGene00010990,R03D7.4,0.25488764917546,23.431,93.829,-1.941
WBGene00017934,F30B5.4,0.25488764917546,172.112,34.858,2.263
WBGene00020031,suco-1,0.25488764917546,367.629,723.040,-0.972
WBGene00022021,Y61A9LA.10,0.25488764917546,654.556,312.608,1.062
WBGene00008923,F17C11.12,0.255640255841015,156.914,53.151,1.535
WBGene00010550,K04B12.2,0.255640255841015,124.237,38.665,1.647
WBGene00007010,alx-1,0.259844503112105,559.039,302.871,0.879
WBGene00017993,cec-5,0.260013405303505,33.144,71.476,-1.066
WBGene00021931,Y55F3AM.14,0.260013405303505,0.000,84.805,-6.406
WBGene00001629,gly-4,0.260243089233906,1060.556,577.226,0.875
WBGene00018572,lin-42,0.265977590023568,265.451,592.324,-1.153
WBGene00022859,ZK1193.3,0.271143100296106,0.000,90.395,-6.498
WBGene00004993,spp-8,0.271606583909107,0.000,140.452,-7.134
WBGene00011970,rlbp-1,0.271606583909107,155.732,90.497,0.767
WBGene00019617,K10C2.1,0.273337073332024,3990.166,7497.273,-0.910
WBGene00007220,C01B9.1,0.277008315912832,53.364,203.440,-1.904
WBGene00010317,idh-1,0.277008315912832,122.697,254.194,-1.039
WBGene00020007,R11F4.1,0.277401966310695,208.493,50.322,2.022
WBGene00000793,crh-1,0.279460713091548,1012.263,553.394,0.869
WBGene00004480,rps-11,0.280827370413135,270.910,601.601,-1.146
WBGene00011407,ppat-1,0.280827370413135,119.352,13.611,3.030
WBGene00016006,fln-2,0.282317713000452,639.946,296.157,1.107
WBGene00000904,daf-8,0.289881661168959,155.540,40.665,1.900
WBGene00002055,ifc-1,0.289881661168959,60.029,263.554,-2.111
WBGene00006923,vhp-1,0.289881661168959,1410.770,707.203,0.994
WBGene00007112,B0035.13,0.289881661168959,110.212,7.358,3.721
WBGene00007581,alkb-8,0.289881661168959,99.246,32.517,1.566
WBGene00013762,Y113G7B.12,0.289881661168959,118.708,422.105,-1.818
WBGene00019017,F57F4.4,0.289881661168959,3901.197,2257.026,0.789
WBGene00019227,sgca-1,0.292809530989087,56.959,210.019,-1.857
WBGene00019465,acl-14,0.292809530989087,699.357,380.383,0.875
WBGene00020139,T01B11.2,0.292809530989087,300.754,110.598,1.430
WBGene00000224,atgp-1,0.293773270597102,79.681,24.175,1.662
WBGene00001032,dnj-14,0.302834815569191,81.007,14.966,2.343
WBGene00018811,pmt-2,0.303438018558118,291.831,52.622,2.444
WBGene00000881,cyn-5,0.303716380892589,98.253,211.141,-1.089
WBGene00001243,elo-5,0.303716380892589,50.530,156.775,-1.605
WBGene00004701,rsp-4,0.303716380892589,89.614,16.587,2.349
WBGene00019914,clec-150,0.303716380892589,46.813,109.147,-1.191
WBGene00021814,Y53G8AR.7,0.303716380892589,0.000,129.748,-7.020
WBGene00021625,Y47D7A.13,0.305656461045753,176.138,52.740,1.713
WBGene00012462,Y17G7B.8,0.309580158340951,323.451,125.042,1.360
WBGene00014213,ZK1073.1,0.309580158340951,88.918,16.552,2.341
WBGene00001498,fars-3,0.309704784259406,97.780,73.574,0.391
WBGene00012929,rsks-1,0.309704784259406,422.736,727.155,-0.779
WBGene00019619,asp-14,0.310134996859975,94.920,9.762,3.141
WBGene00022848,ZK1055.7,0.3105046972788,553.087,262.149,1.072
WBGene00008120,C46F11.5,0.310589169095944,72.731,12.644,2.414
WBGene00002081,ina-1,0.313068932008248,428.962,215.752,0.985
WBGene00003096,lys-7,0.317313605035549,0.000,94.591,-6.564
WBGene00008476,E03H4.8,0.318315298592296,28.183,86.028,-1.560
WBGene00022745,ZK470.2,0.319627326438571,596.069,306.638,0.954
WBGene00004789,sgk-1,0.323539286063662,108.937,207.797,-0.919
WBGene00003153,mca-3,0.339175822054619,1299.213,2432.624,-0.904
WBGene00001393,fat-1,0.341534624734522,57.288,128.071,-1.136
WBGene00020902,jmjc-1,0.341534624734522,215.899,100.275,1.092
WBGene00003818,nsf-1,0.341661116172604,269.705,151.187,0.826
WBGene00021510,frpr-19,0.344268827172607,87.587,17.229,2.264
WBGene00004418,rpl-7,0.346855680173185,256.278,489.252,-0.927
WBGene00008901,nhr-27,0.347669882728399,38.904,62.581,-0.649
WBGene00000022,abt-4,0.351878424565162,1348.341,772.944,0.801
WBGene00000215,asp-2,0.351878424565162,505.559,1008.300,-0.993
WBGene00002250,lap-2,0.351878424565162,112.791,332.751,-1.548
WBGene00004474,rps-5,0.351878424565162,536.918,1009.588,-0.908
WBGene00006609,tre-3,0.351878424565162,33.126,213.308,-2.644
WBGene00007993,idhb-1,0.351878424565162,19.762,79.960,-1.945
WBGene00010975,R01H10.7,0.351878424565162,67.346,78.398,-0.198
WBGene00011755,T13H5.1,0.351878424565162,162.637,426.106,-1.381
WBGene00013703,Y106G6D.7,0.351878424565162,75.603,33.519,1.131
WBGene00015887,C17C3.1,0.351878424565162,39.949,114.804,-1.487
WBGene00017724,F22F7.7,0.351878424565162,34.739,130.866,-1.873
WBGene00020015,nhr-210,0.351878424565162,84.343,17.890,2.159
WBGene00021473,sydn-1,0.351878424565162,133.869,34.119,1.930
WBGene00018262,cyp-33C3,0.3524516844559,22.316,95.566,-2.035
WBGene00009992,F53F4.10,0.354561611387737,43.571,146.138,-1.713
WBGene00011798,T16G1.4,0.354561611387737,25.911,95.029,-1.820
WBGene00000181,ard-1,0.354618908168773,17.037,83.337,-2.208
WBGene00000216,asp-3,0.355660978237804,331.614,699.793,-1.073
WBGene00001007,dli-1,0.355660978237804,28.226,82.814,-1.503
WBGene00004106,pqn-15,0.355660978237804,287.320,118.184,1.269
WBGene00004492,rps-23,0.355660978237804,269.271,569.979,-1.077
WBGene00007386,C06H2.2,0.355660978237804,55.849,18.271,1.535
WBGene00016318,C32D5.11,0.355660978237804,57.467,12.049,2.139
WBGene00016888,C52E12.1,0.355660978237804,172.221,219.998,-0.345
WBGene00017591,F19C7.1,0.355660978237804,187.068,37.466,2.282
WBGene00017858,F27C1.11,0.355660978237804,0.000,82.343,-6.364
WBGene00018294,atg-18,0.355660978237804,33.672,18.811,0.765
WBGene00018467,sdpn-1,0.355660978237804,305.442,159.709,0.926
WBGene00019495,sdz-24,0.355660978237804,113.812,0.531,6.216
WBGene00022453,Y110A2AR.3,0.355660978237804,86.322,15.936,2.350
WBGene00001580,gex-3,0.356008342818832,37.854,23.364,0.636
WBGene00020516,T15B7.1,0.356008342818832,102.469,0.266,6.339
WBGene00008598,spin-3,0.357782306636915,82.510,0.786,5.530
WBGene00003724,nhr-134,0.358536571858228,56.640,12.374,2.082
WBGene00010794,dld-1,0.358536571858228,231.144,354.875,-0.612
WBGene00044025,T01G1.4,0.36590605950395,5.301,76.512,-3.602
WBGene00000081,ads-1,0.368637465343609,784.932,1308.224,-0.735
WBGene00000156,apr-1,0.368637465343609,49.493,8.498,2.382
WBGene00001775,gst-27,0.368637465343609,5.199,51.614,-3.058
WBGene00002219,klp-7,0.368637465343609,39.450,11.328,1.678
WBGene00006603,tps-2,0.368637465343609,1907.316,3398.588,-0.833
WBGene00006734,ufd-2,0.368637465343609,32.205,113.052,-1.767
WBGene00007201,exos-4.1,0.368637465343609,45.149,8.041,2.320
WBGene00007460,C08F11.13,0.368637465343609,393.701,138.153,1.500
WBGene00009124,rtel-1,0.368637465343609,113.484,45.988,1.272
WBGene00011893,T21C9.6,0.368637465343609,258.557,518.369,-0.998
WBGene00012326,W07E11.1,0.368637465343609,485.137,845.045,-0.798
WBGene00013325,Y57G11C.36,0.368637465343609,30.253,3.840,2.644
WBGene00016762,ugt-24,0.368637465343609,55.746,10.213,2.314
WBGene00018213,F39H12.2,0.368637465343609,62.183,5.497,3.259
WBGene00021852,Y54F10AM.8,0.368637465343609,433.058,835.649,-0.945
WBGene00022179,Y71H2AM.14,0.368637465343609,63.113,7.328,2.922
WBGene00019717,trx-3,0.368865200802702,268.234,96.742,1.456
WBGene00014087,ZK809.5,0.371111400987559,21.824,58.791,-1.365
WBGene00000375,cyp-44A1,0.373045182410389,26.446,11.199,1.116
WBGene00003246,mig-14,0.373045182410389,44.655,7.811,2.341
WBGene00004732,sax-7,0.373045182410389,59.292,172.645,-1.518
WBGene00012834,Y43F8C.13,0.373045182410389,16.291,79.122,-2.194
WBGene00017301,F09F7.4,0.373045182410389,36.596,85.073,-1.178
WBGene00013204,Y54E5B.2,0.374550961567595,22.319,77.016,-1.724
WBGene00022667,ZK154.5,0.374550961567595,49.624,117.962,-1.220
WBGene00013425,ceh-91,0.376490332602786,28.837,9.314,1.483
WBGene00021167,cyp-32B1,0.376490332602786,563.096,257.389,1.124
WBGene00004016,phf-5,0.376892316140555,142.312,361.764,-1.336
WBGene00004859,sma-5,0.376892316140555,700.191,388.446,0.846
WBGene00006945,wars-1,0.376892316140555,286.268,104.459,1.441
WBGene00016148,C26F1.3,0.376892316140555,43.844,6.062,2.634
WBGene00016411,C34E10.10,0.376892316140555,31.198,7.174,1.932
WBGene00021367,Y37E11AM.3,0.376892316140555,177.728,104.921,0.747
WBGene00004447,rpl-33,0.382361950886431,120.829,197.990,-0.701
WBGene00009006,F21D5.1,0.383739826021756,29.517,8.583,1.623
WBGene00004427,rpl-15,0.385095358038118,276.242,561.422,-1.018
WBGene00011799,T16G1.5,0.385095358038118,34.454,138.162,-1.962
WBGene00000111,alh-5,0.387133916324736,17.991,72.857,-1.940
WBGene00009207,F28C6.8,0.387133916324736,22.538,8.671,1.221
WBGene00009522,F38A1.9,0.387133916324736,0.000,73.720,-6.204
WBGene00015311,C01G5.9,0.387133916324736,34.254,6.331,2.224
WBGene00000101,aka-1,0.389075341860675,154.631,280.502,-0.850
WBGene00000289,cam-1,0.389075341860675,14.677,69.419,-2.147
WBGene00015632,C09D4.1,0.389612291485024,83.144,203.212,-1.272
WBGene00006839,unc-115,0.392512112903831,52.635,105.975,-0.982
WBGene00019145,H02F09.2,0.392512112903831,62.039,0.000,5.955
WBGene00020658,T21F4.1,0.392512112903831,23.779,6.618,1.642
WBGene00017957,F31F4.1,0.400790907211358,143.539,30.304,2.197
WBGene00022042,icd-2,0.400790907211358,41.212,106.307,-1.333
WBGene00003550,nas-32,0.400955337459566,0.000,65.028,-6.023
WBGene00004729,sax-3,0.402053816566958,331.741,162.393,1.022
WBGene00000814,csn-2,0.402072450765007,103.649,37.623,1.424
WBGene00011364,T02B5.3,0.403068383122387,89.122,275.648,-1.613
WBGene00021004,W03F9.10,0.403068383122387,118.077,150.513,-0.338
WBGene00010750,K10D11.6,0.403526395482782,0.000,88.644,-6.470
WBGene00000105,alg-1,0.403571009871959,255.138,107.265,1.237
WBGene00003401,mpk-1,0.403571009871959,108.900,32.750,1.690
WBGene00000509,cka-1,0.404680983984525,99.049,30.404,1.657
WBGene00015075,B0238.11,0.406743651949711,33.717,5.915,2.286
WBGene00020562,T19C3.4,0.406743651949711,0.950,81.655,-5.388
WBGene00003691,nhr-101,0.408162898802569,96.640,39.290,1.262
WBGene00019273,H43E16.1,0.411144780202134,318.397,697.127,-1.126
WBGene00012810,nceh-1,0.411651410056092,11.775,90.996,-2.832
WBGene00000283,cah-5,0.414546637512247,4.278,86.726,-4.038
WBGene00004783,seu-1,0.415289554556609,201.479,327.457,-0.694
WBGene00006779,unc-43,0.415738747567043,822.607,507.446,0.694
WBGene00000390,cdc-42,0.41814015822305,58.440,98.357,-0.727
WBGene00006788,unc-53,0.418741224146681,118.848,22.284,2.352
WBGene00013983,ZK512.2,0.418741224146681,89.241,42.317,1.043
WBGene00003392,mog-4,0.418765359306491,242.905,138.042,0.805
WBGene00011106,acl-5,0.420885041409614,93.994,28.895,1.653
WBGene00000229,atp-2,0.42520835257584,1003.264,1659.499,-0.725
WBGene00001089,dre-1,0.426044939656425,245.142,551.507,-1.164
WBGene00002153,iars-2,0.4261678664168,103.092,185.584,-0.834
WBGene00019170,H06I04.6,0.4261678664168,11.794,56.507,-2.143
WBGene00010660,K08D8.6,0.426887489907171,160.537,56.421,1.483
WBGene00013506,usp-3,0.427485222552039,146.417,79.943,0.855
WBGene00004013,pha-4,0.427767548561805,193.694,76.769,1.317
WBGene00006725,ubl-1,0.427767548561805,316.223,487.451,-0.620
WBGene00010406,math-33,0.427767548561805,338.416,210.800,0.676
WBGene00018708,oac-32,0.427767548561805,4.278,75.305,-3.835
WBGene00004806,skp-1,0.429081833708688,17.203,69.170,-1.926
WBGene00009691,F44E5.4,0.429081833708688,39.040,73.813,-0.882
WBGene00014164,lact-2,0.429081833708688,75.546,199.112,-1.379
WBGene00011888,cutl-15,0.429397200415667,17.358,65.596,-1.837
WBGene00015956,C18B2.5,0.429397200415667,312.426,492.844,-0.653
WBGene00010747,K10D11.3,0.43244366949749,0.000,74.852,-6.226
WBGene00019844,abts-4,0.43244366949749,41.713,208.885,-2.290
WBGene00020446,T12B3.3,0.432752382028921,25.985,69.710,-1.369
WBGene00004788,sft-4,0.43310120839943,13.936,70.028,-2.229
WBGene00004766,sel-9,0.441141583456429,6.000,65.074,-3.217
WBGene00001057,dpf-4,0.442225863326933,106.526,34.761,1.575
WBGene00011939,prmt-3,0.443790519083537,100.286,26.178,1.884
WBGene00018569,F47F2.1,0.446021153824909,109.600,21.513,2.283
WBGene00010769,asah-1,0.446956176850222,0.000,69.296,-6.115
WBGene00000899,daf-3,0.451807941083774,338.623,230.845,0.547
WBGene00003986,mct-4,0.456105740190286,598.863,1121.686,-0.903
WBGene00008492,F01D5.1,0.456105740190286,0.000,61.860,-5.951
WBGene00013362,algn-7,0.456105740190286,15.533,62.199,-1.912
WBGene00017773,dct-6,0.456105740190286,144.862,216.668,-0.571
WBGene00019540,K08D12.6,0.456105740190286,173.191,54.808,1.634
WBGene00021074,W07E6.2,0.456105740190286,90.630,27.426,1.673
