Table S9: Differential expression test results for anterior vs. posterior body wall muscle. ,,,,,
gene_id,symbol,q-value,anterior TPM,posterior TPM,"moderated log2
(anterior / posterior)"
WBGene00012125,T28D6.5,7.12E-27,230.074,6.759,4.890
WBGene00000802,crt-1,9.57E-27,1363.492,3178.661,-1.220
WBGene00003978,pes-4,1.28E-25,263.288,13.020,4.231
WBGene00000370,ccg-1,1.45E-25,683.305,1691.528,-1.306
WBGene00015326,ivd-1,2.64E-25,249.624,19.666,3.594
WBGene00003963,pdi-2,1.20E-24,395.584,992.470,-1.323
WBGene00006796,unc-62,8.22E-24,440.764,117.749,1.892
WBGene00019465,acl-14,1.92E-23,430.322,89.792,2.245
WBGene00013872,ZC374.2,2.43E-23,312.627,42.934,2.831
WBGene00004773,sem-4,2.89E-23,6.963,206.273,-4.695
WBGene00022242,sfrp-1,1.23E-22,154.264,0.139,7.081
WBGene00014090,ZK822.2,2.12E-22,169.950,7.923,4.251
WBGene00014108,ZK856.7,3.06E-22,36.580,310.768,-3.048
WBGene00002255,lbp-3,3.80E-22,6.612,219.030,-4.847
WBGene00020471,pho-14,1.00E-21,39.535,295.720,-2.867
WBGene00018607,F48E3.8,3.58E-21,151.192,0.121,7.076
WBGene00002262,ldh-1,5.48E-21,300.555,80.644,1.880
WBGene00044082,D1086.12,1.45E-20,233.283,37.822,2.587
WBGene00011736,T12D8.9,2.10E-20,3252.557,1575.680,1.045
WBGene00012354,W09C5.8,2.10E-20,1028.021,440.821,1.218
WBGene00001620,glt-1,2.26E-20,236.241,46.895,2.302
WBGene00013078,ttr-25,3.40E-20,4.722,188.252,-5.040
WBGene00001538,gcy-12,4.26E-20,273.068,52.053,2.364
WBGene00011884,enol-1,1.12E-19,1111.751,524.796,1.080
WBGene00001503,fum-1,1.26E-19,553.250,238.143,1.210
WBGene00023417,swm-1,1.63E-19,0.923,133.866,-6.122
WBGene00017864,pcca-1,2.62E-19,1017.241,453.976,1.161
WBGene00019647,K11D12.7,3.03E-19,43.602,278.519,-2.643
WBGene00003238,mig-1,4.16E-19,3.440,147.691,-5.056
WBGene00000833,cts-1,4.39E-19,1747.032,822.239,1.086
WBGene00003162,mdh-2,4.42E-19,1425.910,660.421,1.108
WBGene00020082,gcp-2.1,4.82E-19,30.555,266.338,-3.077
WBGene00017075,nap-1,8.19E-19,386.822,916.582,-1.241
WBGene00008953,F19C6.4,8.87E-19,269.049,48.436,2.444
WBGene00017798,slc-17.8,1.59E-18,3.394,145.235,-5.047
WBGene00001423,fib-1,1.62E-18,332.320,848.446,-1.348
WBGene00002990,lin-1,1.89E-18,401.558,140.583,1.504
WBGene00012553,cco-2,1.89E-18,865.252,402.530,1.100
WBGene00011474,aldo-1,1.99E-18,2194.243,1066.925,1.039
WBGene00000455,ceh-34,2.85E-18,133.044,0.000,7.056
WBGene00011511,gpcp-2,2.85E-18,375.880,115.695,1.688
WBGene00018491,mdh-1,4.65E-18,949.395,428.524,1.144
WBGene00003567,ncx-2,5.98E-18,356.048,822.320,-1.204
WBGene00020735,T23F2.2,6.33E-18,1395.192,639.355,1.124
WBGene00000476,cfi-1,7.08E-18,160.319,6.104,4.496
WBGene00004944,sol-1,8.72E-18,141.549,6.752,4.191
WBGene00013311,sec-61,1.26E-17,221.525,564.451,-1.343
WBGene00015778,got-2.2,2.05E-17,575.880,266.052,1.109
WBGene00022336,Y82E9BR.3,3.18E-17,2462.452,1265.892,0.959
WBGene00011755,T13H5.1,3.73E-17,762.991,358.056,1.087
WBGene00006580,tlp-1,1.23E-16,27.564,207.087,-2.858
WBGene00007385,atp-5,1.27E-16,838.602,383.852,1.124
WBGene00000211,asm-1,1.47E-16,214.931,58.349,1.857
WBGene00003964,pdi-3,1.54E-16,620.437,1297.962,-1.063
WBGene00011832,bgal-1,2.31E-15,583.268,207.246,1.486
WBGene00019713,pqn-52,3.65E-15,79.749,338.463,-2.067
WBGene00010419,H28O16.1,4.88E-15,2828.867,1473.556,0.940
WBGene00015139,B0310.3,6.08E-15,221.591,44.170,2.294
WBGene00007055,tag-196,8.10E-15,124.460,391.375,-1.641
WBGene00013124,Y52B11A.4,1.49E-14,249.850,49.128,2.317
WBGene00006587,tnt-2,2.28E-14,6459.525,3670.948,0.815
WBGene00018033,F35B3.7,3.45E-14,445.796,147.812,1.583
WBGene00012383,ttr-17,3.87E-14,66.556,280.838,-2.056
WBGene00000070,acy-3,1.17E-13,206.752,553.815,-1.415
WBGene00003006,lin-17,1.89E-13,2.720,138.998,-5.224
WBGene00010440,ttr-51,2.09E-13,39.169,222.194,-2.468
WBGene00019510,K07H8.10,2.56E-13,345.881,794.418,-1.195
WBGene00002266,lec-3,2.87E-13,200.509,46.908,2.065
WBGene00003738,nid-1,3.16E-13,140.191,4.473,4.679
WBGene00001685,gpd-3,3.22E-13,2074.339,1152.955,0.846
WBGene00007330,C05C10.3,3.44E-13,844.832,415.788,1.019
WBGene00002026,hsp-70,3.72E-13,424.903,149.398,1.498
WBGene00002216,klp-3,4.96E-13,305.119,131.674,1.201
WBGene00021043,pck-1,5.36E-13,1937.573,1047.468,0.886
WBGene00022089,Y69A2AR.18,1.13E-12,880.022,474.211,0.889
WBGene00020897,del-10,1.20E-12,152.642,390.517,-1.346
WBGene00018037,chtl-1,1.21E-12,102.310,1.427,5.398
WBGene00020297,nog-1,1.41E-12,269.595,615.679,-1.186
WBGene00016838,C50F2.4,1.82E-12,23.532,159.270,-2.699
WBGene00009221,acs-2,1.84E-12,147.852,386.761,-1.378
WBGene00000277,cab-1,1.99E-12,86.350,321.917,-1.882
WBGene00009319,mccc-1,2.12E-12,272.879,93.460,1.530
WBGene00006788,unc-53,2.19E-12,93.519,318.150,-1.751
WBGene00021918,Y55D5A.4,2.44E-12,159.624,31.610,2.291
WBGene00044049,sfxn-5,2.82E-12,47.372,239.880,-2.310
WBGene00000788,cpz-1,3.09E-12,198.180,58.168,1.744
WBGene00011713,T11F9.12,5.05E-12,85.146,1.094,5.346
WBGene00016103,dpyd-1,5.12E-12,97.264,0.449,6.069
WBGene00022418,igcm-4,6.25E-12,95.794,1.119,5.499
WBGene00004215,ptp-3,6.40E-12,88.506,304.208,-1.765
WBGene00014262,ZK1321.4,6.40E-12,630.066,302.273,1.055
WBGene00006672,twk-18,8.79E-12,319.998,682.298,-1.088
WBGene00019780,M60.4,9.11E-12,100.885,281.886,-1.468
WBGene00020511,immt-1,9.38E-12,299.016,127.202,1.222
WBGene00000478,cfz-2,9.53E-12,89.486,2.296,4.763
WBGene00016716,acs-17,1.06E-11,1260.951,676.737,0.896
WBGene00013577,Y76A2B.5,1.08E-11,486.750,225.350,1.105
WBGene00006433,sdhb-1,1.15E-11,424.998,174.608,1.275
WBGene00009389,F35B12.10,1.23E-11,87.311,1.857,4.933
WBGene00009082,dlat-1,1.49E-11,478.267,238.836,0.996
WBGene00044737,ttr-45,1.62E-11,10.460,124.737,-3.444
WBGene00007919,C34C6.7,2.23E-11,3.092,86.990,-4.410
WBGene00012478,Y18D10A.8,2.36E-11,429.022,214.227,0.995
WBGene00003102,mab-5,2.68E-11,2.186,89.694,-4.815
WBGene00012158,ucr-2.1,3.70E-11,339.978,155.131,1.123
WBGene00014035,seb-2,5.01E-11,87.002,0.127,6.271
WBGene00022770,acp-1,5.01E-11,6.285,103.582,-3.830
WBGene00010117,nkb-3,5.40E-11,156.968,43.495,1.819
WBGene00014202,mmcm-1,5.94E-11,619.992,314.566,0.974
WBGene00006588,tnt-3,6.25E-11,2245.026,1294.346,0.793
WBGene00016360,C33G8.2,6.58E-11,76.869,0.445,5.733
WBGene00020950,dlst-1,6.70E-11,756.178,410.478,0.878
WBGene00003831,nuo-1,7.22E-11,455.392,225.513,1.008
WBGene00002267,lec-4,7.47E-11,178.949,38.632,2.175
WBGene00009772,ztf-7,8.31E-11,426.115,848.714,-0.991
WBGene00020696,T22F3.3,8.85E-11,451.007,232.206,0.952
WBGene00018701,pccb-1,9.54E-11,1086.723,606.744,0.838
WBGene00044484,hot-9,1.50E-10,70.350,0.000,6.136
WBGene00019249,H28G03.1,1.79E-10,462.892,253.221,0.865
WBGene00000229,atp-2,1.81E-10,4919.555,3027.468,0.700
WBGene00000228,atn-1,1.83E-10,1268.111,708.560,0.838
WBGene00000230,atp-3,1.84E-10,861.066,456.163,0.913
WBGene00006780,unc-44,1.84E-10,1337.303,806.980,0.727
WBGene00006439,ant-1.1,1.89E-10,4396.143,2698.840,0.703
WBGene00006852,unc-129,1.94E-10,107.520,288.733,-1.412
WBGene00013477,Y69E1A.5,1.94E-10,254.422,84.790,1.568
WBGene00008514,F02A9.4,2.27E-10,409.261,194.176,1.068
WBGene00018963,ucr-1,2.53E-10,678.675,383.462,0.820
WBGene00006342,sup-37,2.54E-10,489.247,254.423,0.938
WBGene00019888,btbd-10,2.58E-10,327.631,146.175,1.155
WBGene00000901,daf-5,2.60E-10,348.392,146.724,1.238
WBGene00017874,acdh-9,2.60E-10,373.563,186.485,0.995
WBGene00001520,gas-1,2.96E-10,449.982,204.025,1.134
WBGene00015125,B0303.3,2.96E-10,192.214,68.579,1.466
WBGene00000149,apl-1,3.58E-10,110.912,11.343,3.168
WBGene00008521,F02D8.4,3.63E-10,22.740,164.431,-2.792
WBGene00020146,got-1.2,3.66E-10,263.863,103.930,1.330
WBGene00017060,D2063.1,3.83E-10,109.108,40.334,1.400
WBGene00020909,W01A11.1,3.94E-10,175.101,51.909,1.727
WBGene00022397,Y97E10AR.2,4.03E-10,102.882,316.880,-1.609
WBGene00006746,unc-6,4.23E-10,5.244,81.609,-3.708
WBGene00018376,F43C9.2,4.72E-10,71.742,5.946,3.369
WBGene00000207,asb-2,6.27E-10,954.132,563.299,0.758
WBGene00020878,T28A11.16,6.79E-10,9.475,83.388,-2.993
WBGene00017698,F22B7.9,7.39E-10,108.526,21.680,2.259
WBGene00020581,T19D12.6,7.77E-10,263.585,73.115,1.830
WBGene00009578,F40F8.5,8.09E-10,349.799,770.043,-1.134
WBGene00008395,D1086.8,9.59E-10,10.090,132.647,-3.580
WBGene00012362,W09D10.4,9.59E-10,230.552,71.208,1.675
WBGene00011510,pdha-1,9.74E-10,387.898,188.468,1.034
WBGene00008957,glb-13,1.00E-09,81.081,5.128,3.726
WBGene00003423,msi-1,1.06E-09,164.358,48.318,1.737
WBGene00015393,C03G6.5,1.11E-09,16.966,151.655,-3.077
WBGene00002162,isp-1,1.18E-09,943.951,532.307,0.824
WBGene00010794,dld-1,1.34E-09,423.556,239.122,0.819
WBGene00020181,T02H6.11,1.40E-09,409.868,193.493,1.075
WBGene00007505,pezo-1,1.41E-09,267.009,103.692,1.351
WBGene00008446,E01G4.3,1.66E-09,436.072,207.588,1.064
WBGene00004112,pqn-22,1.86E-09,1741.618,1046.149,0.734
WBGene00044698,K09F5.6,1.90E-09,20.348,120.388,-2.496
WBGene00020732,T23E7.2,2.16E-09,1443.185,861.398,0.743
WBGene00019061,F58F12.1,2.55E-09,625.538,355.006,0.813
WBGene00014033,arrd-15,2.56E-09,85.186,5.855,3.635
WBGene00006787,unc-52,2.71E-09,1776.120,1049.989,0.757
WBGene00018734,F53A10.2,2.71E-09,292.521,122.271,1.247
WBGene00003143,max-1,3.42E-09,5.715,85.515,-3.671
WBGene00001169,eef-1A.2,3.45E-09,973.206,1613.122,-0.728
WBGene00022072,cpg-9,3.45E-09,69.800,242.621,-1.777
WBGene00012376,nduf-7,4.19E-09,358.255,167.404,1.089
WBGene00001684,gpd-2,4.66E-09,975.517,576.584,0.756
WBGene00015650,pkg-2,4.73E-09,366.131,167.702,1.118
WBGene00020895,T28D9.3,5.21E-09,1.679,78.081,-4.865
WBGene00007741,glb-8,5.56E-09,67.565,1.628,4.684
WBGene00008505,F01G4.6,5.63E-09,1962.413,1210.720,0.696
WBGene00002183,kat-1,5.94E-09,198.925,76.232,1.365
WBGene00020689,npr-12,6.04E-09,130.253,27.995,2.167
WBGene00010896,M28.5,6.17E-09,69.876,210.824,-1.573
WBGene00011015,R04F11.2,6.48E-09,345.045,199.696,0.782
WBGene00011095,gana-1,7.86E-09,382.735,222.230,0.778
WBGene00010681,mak-1,8.46E-09,683.420,408.315,0.740
WBGene00016474,C36C5.5,1.02E-08,84.830,9.797,2.974
WBGene00018361,F42G8.10,1.20E-08,302.394,141.858,1.082
WBGene00004788,sft-4,1.23E-08,119.900,300.319,-1.313
WBGene00007365,C06B3.6,1.27E-08,47.280,161.873,-1.745
WBGene00004447,rpl-33,1.41E-08,471.404,797.173,-0.755
WBGene00001390,far-6,1.47E-08,335.771,157.299,1.085
WBGene00009404,F35C11.5,1.58E-08,72.299,0.543,5.550
WBGene00007024,plin-1,1.58E-08,174.654,71.681,1.265
WBGene00000371,cco-1,1.59E-08,340.515,180.779,0.906
WBGene00007630,har-1,1.71E-08,252.212,147.788,0.761
WBGene00021562,nuo-5,1.82E-08,346.052,188.141,0.872
WBGene00013597,gpi-1,2.16E-08,223.332,101.066,1.130
WBGene00020886,ttr-6,2.30E-08,172.964,383.034,-1.139
WBGene00017362,F10G2.1,2.39E-08,473.619,274.362,0.782
WBGene00019188,H11E01.3,2.39E-08,73.233,6.268,3.333
WBGene00003225,mev-1,2.59E-08,167.361,82.609,1.001
WBGene00021818,Y53G8B.2,2.65E-08,188.775,56.648,1.711
WBGene00010032,F54B11.9,3.15E-08,99.707,5.241,3.998
WBGene00004995,spp-10,3.32E-08,574.300,938.951,-0.707
WBGene00022122,trap-1,3.32E-08,98.668,269.843,-1.437
WBGene00021128,W10C8.5,3.49E-08,298.196,122.276,1.274
WBGene00000998,dig-1,3.50E-08,8524.838,5783.891,0.559
WBGene00006784,unc-49,3.50E-08,458.055,812.889,-0.824
WBGene00016987,CC8.2,3.50E-08,304.249,142.413,1.085
WBGene00011573,anmt-3,3.61E-08,499.163,276.855,0.845
WBGene00003566,ncx-1,3.92E-08,71.761,2.379,4.408
WBGene00002276,lem-3,5.74E-08,14.131,96.551,-2.674
WBGene00008776,F13H10.5,6.28E-08,1.445,65.209,-4.737
WBGene00022199,pfk-1.1,6.48E-08,200.863,87.326,1.185
WBGene00007981,glb-11,6.75E-08,34.157,148.040,-2.074
WBGene00013859,ZC247.1,6.81E-08,1289.574,824.875,0.643
WBGene00003414,mrp-8,6.91E-08,55.164,0.797,4.940
WBGene00015248,mai-2,6.91E-08,294.045,153.338,0.930
WBGene00022170,Y71H2AM.5,8.09E-08,325.625,179.982,0.847
WBGene00009952,acaa-2,8.55E-08,206.760,89.259,1.196
WBGene00013746,lgc-55,8.88E-08,93.548,6.176,3.704
WBGene00006308,sul-1,1.08E-07,35.005,145.451,-2.014
WBGene00017193,F07C3.2,1.09E-07,53.024,0.000,5.729
WBGene00018191,frpr-7,1.27E-07,46.267,0.000,5.532
WBGene00021800,Y53G8AL.2,1.45E-07,410.334,193.432,1.078
WBGene00000140,anc-1,1.59E-07,2579.110,1700.127,0.600
WBGene00019519,K08B5.2,1.59E-07,53.991,1.549,4.405
WBGene00009920,abts-1,1.64E-07,1875.155,1190.571,0.654
WBGene00003495,mup-2,1.85E-07,3600.381,5350.085,-0.571
WBGene00019211,H18N23.2,1.87E-07,396.927,222.849,0.826
WBGene00000931,dao-5,2.04E-07,245.419,519.078,-1.075
WBGene00000377,cct-1,2.13E-07,217.081,371.998,-0.770
WBGene00020229,T05A8.3,2.51E-07,269.806,517.102,-0.933
WBGene00011440,sfxn-1.5,2.58E-07,66.215,4.223,3.664
WBGene00015810,C16A3.5,2.60E-07,232.803,117.914,0.969
WBGene00001508,fut-8,2.63E-07,158.109,62.515,1.316
WBGene00004778,ser-3,2.71E-07,49.325,2.483,3.824
WBGene00020007,R11F4.1,2.88E-07,368.254,212.749,0.785
WBGene00011647,noca-1,2.91E-07,317.450,176.725,0.837
WBGene00022026,Y65B4A.2,2.91E-07,208.929,71.966,1.518
WBGene00009888,F49E2.5,2.91E-07,2358.172,1547.924,0.606
WBGene00019663,K11H12.7,3.18E-07,60.937,4.571,3.451
WBGene00019900,vdac-1,3.21E-07,1138.339,715.916,0.667
WBGene00010350,H01G02.3,3.23E-07,96.590,18.086,2.339
WBGene00011681,T10B10.4,3.48E-07,131.234,56.892,1.181
WBGene00017478,F15A8.6,3.48E-07,9.004,70.105,-2.809
WBGene00002855,let-721,3.53E-07,391.868,201.330,0.954
WBGene00009454,F36A2.7,3.78E-07,388.368,217.501,0.830
WBGene00000041,aco-2,3.95E-07,839.975,529.177,0.664
WBGene00009122,tct-1,4.06E-07,648.664,1022.816,-0.655
WBGene00015580,cls-1,4.15E-07,296.898,156.179,0.918
WBGene00000254,bli-4,4.27E-07,160.784,63.210,1.324
WBGene00007696,tram-1,4.28E-07,76.016,229.978,-1.578
WBGene00001101,dsh-1,4.33E-07,122.280,299.540,-1.281
WBGene00002975,lev-8,4.83E-07,130.569,34.668,1.872
WBGene00019301,K02D10.1,4.85E-07,194.474,89.909,1.097
WBGene00000224,atgp-1,4.86E-07,204.726,400.698,-0.962
WBGene00021370,nape-2,5.35E-07,69.780,8.057,2.946
WBGene00003246,mig-14,5.65E-07,13.155,87.843,-2.634
WBGene00007192,B0491.5,5.92E-07,441.678,238.815,0.881
WBGene00020195,T03G6.3,6.54E-07,533.166,935.864,-0.809
WBGene00008262,ril-1,7.57E-07,608.357,345.537,0.812
WBGene00016118,C25H3.9,7.77E-07,534.950,299.436,0.832
WBGene00012907,cpt-1,8.06E-07,541.605,317.151,0.768
WBGene00015433,C04E12.2,9.19E-07,0.508,46.967,-4.961
WBGene00003072,lrp-2,9.59E-07,559.240,891.395,-0.670
WBGene00004208,ptc-1,1.03E-06,263.365,136.419,0.938
WBGene00013647,Y105C5B.5,1.04E-06,45.097,0.164,5.276
WBGene00001179,egl-10,1.08E-06,136.767,52.372,1.358
WBGene00000988,dhs-25,1.10E-06,121.590,47.801,1.317
WBGene00001851,hif-1,1.23E-06,210.641,114.998,0.861
WBGene00014096,ZK829.7,1.24E-06,274.221,123.554,1.139
WBGene00021002,W03F9.4,1.24E-06,41.546,1.703,3.942
WBGene00002991,lin-2,1.28E-06,272.530,149.476,0.857
WBGene00006924,vig-1,1.31E-06,688.703,1074.227,-0.639
WBGene00014214,ZK1073.2,1.35E-06,183.153,83.586,1.115
WBGene00004033,pkc-2,1.44E-06,62.597,2.153,4.311
WBGene00011904,hlb-1,1.44E-06,502.092,297.204,0.752
WBGene00021931,Y55F3AM.14,1.48E-06,134.436,34.126,1.936
WBGene00019001,ipgm-1,1.51E-06,414.277,253.756,0.701
WBGene00022718,ZK370.4,1.52E-06,297.187,171.968,0.781
WBGene00010326,F59C6.5,1.54E-06,296.771,166.609,0.824
WBGene00020185,pgk-1,1.54E-06,189.611,86.723,1.112
WBGene00001155,ech-6,1.57E-06,207.869,85.890,1.258
WBGene00001047,dnj-29,1.72E-06,145.095,337.232,-1.207
WBGene00006789,unc-54,1.84E-06,27950.643,20062.050,0.478
WBGene00012850,Y44A6C.1,1.90E-06,306.562,169.482,0.847
WBGene00015418,pac-1,1.90E-06,422.502,258.574,0.703
WBGene00000283,cah-5,1.92E-06,132.121,34.907,1.880
WBGene00006668,twk-13,1.92E-06,371.334,192.043,0.944
WBGene00020854,T27C4.1,1.96E-06,49.079,3.592,3.418
WBGene00006434,prdx-2,1.99E-06,201.065,114.765,0.796
WBGene00001149,bcat-1,2.06E-06,408.818,273.605,0.574
WBGene00019771,M04F3.5,2.06E-06,39.422,153.037,-1.921
WBGene00006331,sup-26,2.09E-06,128.586,293.548,-1.180
WBGene00006601,tpi-1,2.10E-06,232.925,110.499,1.063
WBGene00016097,C25E10.8,2.10E-06,0.170,43.000,-5.199
WBGene00015391,sdha-1,2.22E-06,520.107,299.304,0.792
WBGene00012097,abcf-2,2.48E-06,392.203,693.413,-0.818
WBGene00017970,F32A5.4,2.50E-06,37.725,0.197,4.978
WBGene00001132,alp-1,2.83E-06,644.899,429.220,0.584
WBGene00023408,cex-2,2.84E-06,324.452,201.542,0.680
WBGene00014125,ZK863.8,2.99E-06,43.723,0.245,5.134
WBGene00044021,R02E4.2,3.01E-06,83.542,14.436,2.436
WBGene00016393,C34B2.8,3.20E-06,404.020,239.862,0.746
WBGene00018024,F35A5.1,4.34E-06,2871.170,2010.029,0.514
WBGene00011449,T04H1.2,4.49E-06,162.411,61.134,1.386
WBGene00004439,rpl-25.2,4.70E-06,290.955,558.997,-0.937
WBGene00006603,tps-2,4.94E-06,1305.766,856.026,0.607
WBGene00008100,C44H9.5,4.97E-06,2.814,46.658,-3.613
WBGene00007000,tufm-1,5.41E-06,611.342,399.924,0.609
WBGene00001434,fkh-2,5.76E-06,45.529,0.000,5.509
WBGene00017125,acdh-12,6.00E-06,148.963,59.413,1.302
WBGene00015980,C18G1.1,6.05E-06,71.978,7.635,3.059
WBGene00008706,gba-3,6.40E-06,41.326,127.597,-1.592
WBGene00011273,R53.4,7.02E-06,761.347,511.009,0.572
WBGene00011679,ucr-2.2,7.05E-06,230.015,130.136,0.811
WBGene00020200,T04A6.1,7.10E-06,81.222,15.384,2.310
WBGene00007980,C36E8.1,7.20E-06,209.767,402.820,-0.934
WBGene00017925,F29B9.11,7.35E-06,287.346,150.956,0.919
WBGene00009583,aagr-3,7.42E-06,209.669,397.896,-0.917
WBGene00004492,rps-23,7.70E-06,1449.756,2092.626,-0.529
WBGene00002295,let-19,7.74E-06,681.529,463.048,0.555
WBGene00004423,rpl-11.2,8.24E-06,2047.086,2904.309,-0.504
WBGene00044650,Y71G10AR.4,8.28E-06,147.591,83.070,0.812
WBGene00000276,byn-1,8.56E-06,84.377,196.767,-1.205
WBGene00000869,cyc-1,8.75E-06,766.489,513.503,0.575
WBGene00021597,spsb-1,8.85E-06,179.987,81.052,1.133
WBGene00000210,asg-2,9.11E-06,218.517,119.053,0.864
WBGene00022127,yop-1,9.20E-06,249.377,147.141,0.751
WBGene00009740,F45H10.3,9.51E-06,214.677,107.174,0.989
WBGene00010374,rga-5,9.51E-06,100.807,231.732,-1.187
WBGene00015413,pdhb-1,1.00E-05,175.290,92.486,0.907
WBGene00020366,acdh-10,1.06E-05,239.667,126.484,0.911
WBGene00002497,let-268,1.13E-05,227.725,415.460,-0.861
WBGene00004454,rpl-36.A,1.19E-05,1035.605,1496.121,-0.529
WBGene00012031,T25G3.4,1.19E-05,249.111,151.151,0.711
WBGene00020216,trap-2,1.20E-05,83.227,219.024,-1.379
WBGene00022793,ZK686.3,1.22E-05,52.569,150.082,-1.486
WBGene00006614,trp-1,1.24E-05,0.333,33.589,-4.655
WBGene00009532,ccch-1,1.25E-05,271.938,166.434,0.700
WBGene00013275,btb-14,1.26E-05,2.376,70.571,-4.385
WBGene00020382,T09B4.8,1.33E-05,286.477,496.157,-0.787
WBGene00011836,mam-4,1.51E-05,48.302,1.239,4.431
WBGene00011481,imp-2,1.55E-05,156.451,324.647,-1.044
WBGene00021009,afd-1,1.55E-05,288.629,193.075,0.573
WBGene00009992,F53F4.10,1.55E-05,316.229,187.780,0.744
WBGene00003412,mrp-6,1.79E-05,90.917,34.530,1.355
WBGene00018187,F38E9.5,1.80E-05,206.996,114.315,0.844
WBGene00008570,kcnl-2,1.81E-05,71.563,10.136,2.684
WBGene00018424,F44E7.2,1.82E-05,42.084,6.628,2.464
WBGene00012530,Y32F6A.5,1.91E-05,25.583,115.137,-2.115
WBGene00003243,mig-10,1.91E-05,32.957,142.077,-2.065
WBGene00010727,K09G1.1,1.91E-05,131.465,63.354,1.031
WBGene00015632,C09D4.1,1.93E-05,4.612,71.951,-3.680
WBGene00020169,mmaa-1,1.93E-05,160.699,69.117,1.197
WBGene00000768,cor-1,1.95E-05,183.801,116.770,0.642
WBGene00021849,Y54F10AM.5,1.96E-05,127.226,66.156,0.922
WBGene00011352,rskn-1,2.05E-05,128.764,42.422,1.568
WBGene00004471,rps-2,2.15E-05,2582.323,3524.989,-0.448
WBGene00021176,Y9C9A.1,2.19E-05,49.814,1.703,4.204
WBGene00006745,unc-5,2.38E-05,231.737,119.525,0.943
WBGene00018395,mtch-1,2.38E-05,324.447,202.257,0.675
WBGene00018782,cct-3,2.38E-05,150.063,295.465,-0.968
WBGene00011629,T08G11.1,2.40E-05,1268.596,841.284,0.591
WBGene00003902,pab-1,2.45E-05,4504.879,6135.656,-0.445
WBGene00007909,C34B4.4,2.45E-05,68.784,24.687,1.421
WBGene00020616,T20D4.10,2.45E-05,15.736,88.429,-2.402
WBGene00022053,cisd-3.2,2.48E-05,139.971,54.041,1.347
WBGene00019428,dgk-5,2.52E-05,27.291,1.436,3.486
WBGene00000548,clr-1,2.56E-05,186.576,376.898,-1.007
WBGene00008819,shw-1,2.91E-05,53.359,157.050,-1.531
WBGene00020251,camt-1,2.91E-05,272.639,146.222,0.889
WBGene00012813,Y43F8B.2,2.97E-05,122.627,55.257,1.124
WBGene00008780,hxk-1,3.00E-05,39.406,2.895,3.339
WBGene00004249,pvf-1,3.04E-05,50.072,163.587,-1.679
